Season,MatchId,RoundNumber,RoundName,utc,Home,Away,PlayerId,Player,Team,Period,Kicks,Handballs,Disposals
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I293883,Jed Bews,Geelong,1,1,1,2
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I293883,Jed Bews,Geelong,2,1,0,1
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I293883,Jed Bews,Geelong,3,1,2,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I293883,Jed Bews,Geelong,4,0,1,1
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I293845,Jeremy Cameron,Geelong,1,2,1,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I293845,Jeremy Cameron,Geelong,2,3,0,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I293845,Jeremy Cameron,Geelong,3,0,1,1
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I293845,Jeremy Cameron,Geelong,4,3,0,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I250321,Joel Selwood,Geelong,1,3,0,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I250321,Joel Selwood,Geelong,2,2,5,7
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I250321,Joel Selwood,Geelong,3,1,2,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I250321,Joel Selwood,Geelong,4,3,1,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I270326,Lachie Henderson,Geelong,1,3,0,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I270326,Lachie Henderson,Geelong,2,1,2,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I270326,Lachie Henderson,Geelong,3,1,2,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I270326,Lachie Henderson,Geelong,4,1,1,2
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I291526,Luke Dahlhaus,Geelong,1,1,0,1
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I291526,Luke Dahlhaus,Geelong,2,1,0,1
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I291526,Luke Dahlhaus,Geelong,3,1,1,2
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I291526,Luke Dahlhaus,Geelong,4,0,2,2
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I296733,Mark Blicavs,Geelong,1,2,0,2
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I296733,Mark Blicavs,Geelong,2,2,0,2
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I296733,Mark Blicavs,Geelong,3,2,0,2
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I296733,Mark Blicavs,Geelong,4,0,2,2
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I1007102,Mark O'Connor,Geelong,1,3,0,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I281065,Mitch Duncan,Geelong,1,11,3,14
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I281065,Mitch Duncan,Geelong,2,4,1,5
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I281065,Mitch Duncan,Geelong,3,6,2,8
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I281065,Mitch Duncan,Geelong,4,3,3,6
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I270917,Patrick Dangerfield,Geelong,1,4,0,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I270917,Patrick Dangerfield,Geelong,2,3,2,5
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I270917,Patrick Dangerfield,Geelong,3,5,2,7
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I270917,Patrick Dangerfield,Geelong,4,5,2,7
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I280317,Rhys Stanley,Geelong,1,1,0,1
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I280317,Rhys Stanley,Geelong,2,2,2,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I280317,Rhys Stanley,Geelong,4,1,0,1
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I294199,Sam Menegola,Geelong,1,2,2,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I294199,Sam Menegola,Geelong,2,1,3,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I294199,Sam Menegola,Geelong,3,1,4,5
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I294199,Sam Menegola,Geelong,4,7,2,9
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I1004940,Sam Simpson,Geelong,1,2,3,5
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I1004940,Sam Simpson,Geelong,2,1,1,2
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I1004940,Sam Simpson,Geelong,3,1,0,1
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I1004940,Sam Simpson,Geelong,4,2,1,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I260227,Shaun Higgins,Geelong,2,2,0,2
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I260227,Shaun Higgins,Geelong,3,1,4,5
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I260227,Shaun Higgins,Geelong,4,0,3,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I994386,Tom Atkins,Geelong,1,2,2,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I994386,Tom Atkins,Geelong,2,2,0,2
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I994386,Tom Atkins,Geelong,3,1,2,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I994386,Tom Atkins,Geelong,4,0,2,2
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I261510,Tom Hawkins,Geelong,1,3,2,5
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I261510,Tom Hawkins,Geelong,2,2,1,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I261510,Tom Hawkins,Geelong,3,1,0,1
