"Season","Round","Home.Team","Away.Team","Player.Name","Coaches.Votes"
2006,1,"West Coast Eagles","St Kilda","Dean Cox (WCE)","9"
2006,1,"West Coast Eagles","St Kilda","Daniel Kerr (WCE)","9"
2006,1,"West Coast Eagles","St Kilda","David Wirrpanda (WCE)","6"
2006,1,"West Coast Eagles","St Kilda","Lenny Hayes (STK)","2"
2006,1,"West Coast Eagles","St Kilda","Chad Fletcher (WCE)","2"
2006,1,"West Coast Eagles","St Kilda","Adam Selwood (WCE)","1"
2006,1,"West Coast Eagles","St Kilda","Jason Gram (STK)","1"
2006,1,"Western Bulldogs","Richmond","Scott West (WB)","10"
2006,1,"Western Bulldogs","Richmond","Daniel Cross (WB)","8"
2006,1,"Western Bulldogs","Richmond","Nathan Eagleton (WB)","5"
2006,1,"Western Bulldogs","Richmond","Brad Johnson (WB)","4"
2006,1,"Western Bulldogs","Richmond","Daniel Giansiracusa (WB)","2"
2006,1,"Western Bulldogs","Richmond","Jordan McMahon (WB)","1"
2006,1,"Geelong Cats","Brisbane Lions","Paul Chapman (GEEL)","10"
2006,1,"Geelong Cats","Brisbane Lions","Gary Ablett (GEEL)","6"
2006,1,"Geelong Cats","Brisbane Lions","James Bartel (GEEL)","6"
2006,1,"Geelong Cats","Brisbane Lions","Darren Milburn (GEEL)","5"
2006,1,"Geelong Cats","Brisbane Lions","Matthew Egan (GEEL)","2"
2006,1,"Geelong Cats","Brisbane Lions","Joel Corey (GEEL)","1"
2006,1,"Essendon","Sydney Swans","Matthew Lloyd (ESS)","10"
2006,1,"Essendon","Sydney Swans","Barry Hall (SYD)","8"
2006,1,"Essendon","Sydney Swans","Dustin Fletcher (ESS)","6"
2006,1,"Essendon","Sydney Swans","Adam Goodes (SYD)","2"
2006,1,"Essendon","Sydney Swans","Dean Solomon (ESS)","2"
2006,1,"Essendon","Sydney Swans","Scott Lucas (ESS)","1"
2006,1,"Essendon","Sydney Swans","Jobe Watson (ESS)","1"
2006,1,"Port Adelaide","North Melbourne","Adam Simpson (NMFC)","6"
2006,1,"Port Adelaide","North Melbourne","Daniel Wells (NMFC)","5"
2006,1,"Port Adelaide","North Melbourne","Daniel Harris (NMFC)","5"
2006,1,"Port Adelaide","North Melbourne","Brady Rawlings (NMFC)","4"
2006,1,"Port Adelaide","North Melbourne","Shaun Burgoyne (PORT)","4"
2006,1,"Port Adelaide","North Melbourne","Brent Harvey (NMFC)","3"
2006,1,"Port Adelaide","North Melbourne","Leigh Brown (NMFC)","2"
2006,1,"Port Adelaide","North Melbourne","Kane Cornes (PORT)","1"
2006,1,"Hawthorn","Fremantle","Sam Mitchell (HAW)","9"
2006,1,"Hawthorn","Fremantle","Mark Williams (HAW)","9"
2006,1,"Hawthorn","Fremantle","Luke Hodge (HAW)","6"
2006,1,"Hawthorn","Fremantle","Robert Campbell (HAW)","3"
2006,1,"Hawthorn","Fremantle","Daniel Jacobs (HAW)","2"
2006,1,"Hawthorn","Fremantle","Peter Bell (FRE)","1"
2006,1,"Melbourne","Carlton","Matthew Lappin (CARL)","9"
2006,1,"Melbourne","Carlton","Brendan Fevola (CARL)","6"
2006,1,"Melbourne","Carlton","Jarrad Waite (CARL)","5"
2006,1,"Melbourne","Carlton","Heath Scotland (CARL)","4"
2006,1,"Melbourne","Carlton","Brad Green (MELB)","3"
2006,1,"Melbourne","Carlton","Lance Whitnall (CARL)","3"
2006,1,"Collingwood","Adelaide Crows","Mark Ricciuto (ADEL)","9"
2006,1,"Collingwood","Adelaide Crows","Tyson Edwards (ADEL)","7"
2006,1,"Collingwood","Adelaide Crows","Martin Mattner (ADEL)","6"
2006,1,"Collingwood","Adelaide Crows","Ben Rutten (ADEL)","4"
2006,1,"Collingwood","Adelaide Crows","Simon Goodwin (ADEL)","2"
2006,1,"Collingwood","Adelaide Crows","Dane Swan (COLL)","1"
2006,1,"Collingwood","Adelaide Crows","Brett Burton (ADEL)","1"
2006,2,"St Kilda","Richmond","Lenny Hayes (STK)","10"
2006,2,"St Kilda","Richmond","Troy Simmonds (RICH)","7"
2006,2,"St Kilda","Richmond","Aaron Hamill (STK)","5"
2006,2,"St Kilda","Richmond","Kayne Pettifer (RICH)","4"
2006,2,"St Kilda","Richmond","Joel Bowden (RICH)","2"
2006,2,"St Kilda","Richmond","Max Hudghton (STK)","1"
2006,2,"St Kilda","Richmond","Patrick Bowden (RICH)","1"
2006,2,"Geelong Cats","North Melbourne","Kent Kingsley (GEEL)","10"
2006,2,"Geelong Cats","North Melbourne","Joel Corey (GEEL)","8"
2006,2,"Geelong Cats","North Melbourne","Gary Ablett (GEEL)","3"
2006,2,"Geelong Cats","North Melbourne","Cameron Mooney (GEEL)","3"
2006,2,"Geelong Cats","North Melbourne","Corey Enright (GEEL)","3"
2006,2,"Geelong Cats","North Melbourne","Max Rooke (GEEL)","2"
2006,2,"Geelong Cats","North Melbourne","Matthew Scarlett (GEEL)","1"
2006,2,"Western Bulldogs","Melbourne","Robert Murphy (WB)","10"
2006,2,"Western Bulldogs","Melbourne","Scott West (WB)","7"
2006,2,"Western Bulldogs","Melbourne","Brad Johnson (WB)","6"
2006,2,"Western Bulldogs","Melbourne","Daniel Cross (WB)","4"
2006,2,"Western Bulldogs","Melbourne","Mitchell Hahn (WB)","2"
2006,2,"Western Bulldogs","Melbourne","Cameron Bruce (MELB)","1"
2006,2,"Fremantle","Carlton","Brendan Fevola (CARL)","9"
2006,2,"Fremantle","Carlton","Ryan Crowley (FRE)","9"
2006,2,"Fremantle","Carlton","Peter Bell (FRE)","5"
2006,2,"Fremantle","Carlton","Joshua Carr (FRE)","4"
2006,2,"Fremantle","Carlton","Shaun McManus (FRE)","2"
2006,2,"Fremantle","Carlton","Jeffrey Farmer (FRE)","1"
2006,2,"Brisbane Lions","Essendon","Jonathan Brown (BL)","9"
2006,2,"Brisbane Lions","Essendon","Luke Power (BL)","6"
2006,2,"Brisbane Lions","Essendon","Daniel Bradshaw (BL)","5"
2006,2,"Brisbane Lions","Essendon","Simon Black (BL)","5"
2006,2,"Brisbane Lions","Essendon","Angus Monfries (ESS)","4"
2006,2,"Brisbane Lions","Essendon","Jamie Charman (BL)","1"
2006,2,"Sydney Swans","Port Adelaide","Chad Cornes (PORT)","10"
2006,2,"Sydney Swans","Port Adelaide","Peter Burgoyne (PORT)","8"
2006,2,"Sydney Swans","Port Adelaide","Brendon Lade (PORT)","6"
2006,2,"Sydney Swans","Port Adelaide","Shaun Burgoyne (PORT)","3"
2006,2,"Sydney Swans","Port Adelaide","Jude Bolton (SYD)","3"
2006,2,"Hawthorn","Collingwood","Anthony Rocca (COLL)","10"
2006,2,"Hawthorn","Collingwood","Luke Hodge (HAW)","7"
2006,2,"Hawthorn","Collingwood","Ben Johnson (COLL)","6"
2006,2,"Hawthorn","Collingwood","Ryan Lonie (COLL)","5"
2006,2,"Hawthorn","Collingwood","Ben Dixon (HAW)","2"
2006,2,"Adelaide Crows","West Coast Eagles","Dean Cox (WCE)","9"
2006,2,"Adelaide Crows","West Coast Eagles","Rowan Jones (WCE)","7"
2006,2,"Adelaide Crows","West Coast Eagles","Simon Goodwin (ADEL)","5"
2006,2,"Adelaide Crows","West Coast Eagles","Mark Ricciuto (ADEL)","4"
2006,2,"Adelaide Crows","West Coast Eagles","Brent Staker (WCE)","4"
2006,2,"Adelaide Crows","West Coast Eagles","Adam Hunter (WCE)","1"
2006,3,"St Kilda","Brisbane Lions","Lenny Hayes (STK)","10"
2006,3,"St Kilda","Brisbane Lions","Nick Dal Santo (STK)","8"
2006,3,"St Kilda","Brisbane Lions","Nick Riewoldt (STK)","5"
2006,3,"St Kilda","Brisbane Lions","Sam Fisher (STK)","4"
2006,3,"St Kilda","Brisbane Lions","Andrew Thompson (STK)","2"
2006,3,"St Kilda","Brisbane Lions","Jonathan Brown (BL)","1"
2006,3,"Geelong Cats","Hawthorn","Luke Hodge (HAW)","10"
2006,3,"Geelong Cats","Hawthorn","Brent Guerra (HAW)","6"
2006,3,"Geelong Cats","Hawthorn","Sam Mitchell (HAW)","4"
2006,3,"Geelong Cats","Hawthorn","Richie Vandenberg (HAW)","4"
2006,3,"Geelong Cats","Hawthorn","Trent Croad (HAW)","3"
2006,3,"Geelong Cats","Hawthorn","Josh Hunt (GEEL)","2"
2006,3,"Geelong Cats","Hawthorn","Rick Ladson (HAW)","1"
2006,3,"West Coast Eagles","Richmond","Adam Hunter (WCE)","10"
2006,3,"West Coast Eagles","Richmond","Dean Cox (WCE)","5"
2006,3,"West Coast Eagles","Richmond","Chad Fletcher (WCE)","4"
2006,3,"West Coast Eagles","Richmond","Mark Nicoski (WCE)","4"
2006,3,"West Coast Eagles","Richmond","Tyson Stenglein (WCE)","3"
2006,3,"West Coast Eagles","Richmond","Kane Johnson (RICH)","2"
2006,3,"West Coast Eagles","Richmond","Shane Tuck (RICH)","2"
2006,3,"Carlton","Sydney Swans","Jude Bolton (SYD)","8"
2006,3,"Carlton","Sydney Swans","Michael O'Loughlin (SYD)","6"
2006,3,"Carlton","Sydney Swans","Leo Barry (SYD)","5"
2006,3,"Carlton","Sydney Swans","Nicholas Stevens (CARL)","4"
2006,3,"Carlton","Sydney Swans","Adam Schneider (SYD)","3"
2006,3,"Carlton","Sydney Swans","Lance Whitnall (CARL)","2"
2006,3,"Carlton","Sydney Swans","Marc Murphy (CARL)","1"
2006,3,"Carlton","Sydney Swans","Ryan O'Keefe (SYD)","1"
2006,3,"Melbourne","Adelaide Crows","Brett Burton (ADEL)","10"
2006,3,"Melbourne","Adelaide Crows","Simon Goodwin (ADEL)","7"
2006,3,"Melbourne","Adelaide Crows","Cameron Bruce (MELB)","5"
2006,3,"Melbourne","Adelaide Crows","Matthew Bode (ADEL)","3"
2006,3,"Melbourne","Adelaide Crows","Tyson Edwards (ADEL)","2"
2006,3,"Melbourne","Adelaide Crows","David Neitz (MELB)","2"
2006,3,"Melbourne","Adelaide Crows","Jeffrey White (MELB)","1"
2006,3,"Essendon","Western Bulldogs","Christopher Grant (WB)","10"
2006,3,"Essendon","Western Bulldogs","Mark McVeigh (ESS)","6"
2006,3,"Essendon","Western Bulldogs","Adam Cooney (WB)","5"
2006,3,"Essendon","Western Bulldogs","Robert Murphy (WB)","5"
2006,3,"Essendon","Western Bulldogs","James Hird (ESS)","2"
2006,3,"Essendon","Western Bulldogs","Andrew Lovett (ESS)","2"
2006,3,"Port Adelaide","Fremantle","Joshua Carr (FRE)","10"
2006,3,"Port Adelaide","Fremantle","Steven Dodd (FRE)","4"
2006,3,"Port Adelaide","Fremantle","Brendon Lade (PORT)","4"
2006,3,"Port Adelaide","Fremantle","Matthew Pavlich (FRE)","4"
2006,3,"Port Adelaide","Fremantle","David Mundy (FRE)","3"
2006,3,"Port Adelaide","Fremantle","Dean Brogan (PORT)","2"
2006,3,"Port Adelaide","Fremantle","Shaun Burgoyne (PORT)","2"
2006,3,"Port Adelaide","Fremantle","Paul Hasleby (FRE)","1"
2006,3,"North Melbourne","Collingwood","Christopher Tarrant (COLL)","9"
2006,3,"North Melbourne","Collingwood","Saverio Rocca (NMFC)","6"
2006,3,"North Melbourne","Collingwood","James Clement (COLL)","5"
2006,3,"North Melbourne","Collingwood","Nathan Buckley (COLL)","4"
2006,3,"North Melbourne","Collingwood","Dane Swan (COLL)","3"
2006,3,"North Melbourne","Collingwood","Ben Johnson (COLL)","2"
2006,3,"North Melbourne","Collingwood","Nick Maxwell (COLL)","1"
2006,4,"Carlton","Hawthorn","Trent Croad (HAW)","10"
2006,4,"Carlton","Hawthorn","Luke Hodge (HAW)","8"
2006,4,"Carlton","Hawthorn","Lance Whitnall (CARL)","6"
2006,4,"Carlton","Hawthorn","Shane Crawford (HAW)","4"
2006,4,"Carlton","Hawthorn","Ryan Houlihan (CARL)","2"
2006,4,"Western Bulldogs","Geelong Cats","Scott West (WB)","10"
2006,4,"Western Bulldogs","Geelong Cats","Bradley Ottens (GEEL)","5"
2006,4,"Western Bulldogs","Geelong Cats","Mitchell Hahn (WB)","5"
2006,4,"Western Bulldogs","Geelong Cats","Gary Ablett (GEEL)","4"
2006,4,"Western Bulldogs","Geelong Cats","Joel Corey (GEEL)","4"
2006,4,"Western Bulldogs","Geelong Cats","Brian Lake (WB)","2"
2006,4,"Fremantle","Adelaide Crows","Graham Johncock (ADEL)","8"
2006,4,"Fremantle","Adelaide Crows","Brent Reilly (ADEL)","5"
2006,4,"Fremantle","Adelaide Crows","Matthew Bode (ADEL)","4"
2006,4,"Fremantle","Adelaide Crows","Byron Schammer (FRE)","4"
2006,4,"Fremantle","Adelaide Crows","Robert Shirley (ADEL)","3"
2006,4,"Fremantle","Adelaide Crows","Shaun McManus (FRE)","2"
2006,4,"Fremantle","Adelaide Crows","Brett Burton (ADEL)","2"
2006,4,"Fremantle","Adelaide Crows","Kenneth McGregor (ADEL)","1"
2006,4,"Fremantle","Adelaide Crows","David Mundy (FRE)","1"
2006,4,"Brisbane Lions","Richmond","Matthew Richardson (RICH)","10"
2006,4,"Brisbane Lions","Richmond","Mark Coughlan (RICH)","8"
2006,4,"Brisbane Lions","Richmond","Jonathan Brown (BL)","5"
2006,4,"Brisbane Lions","Richmond","Brent Hartigan (RICH)","3"
2006,4,"Brisbane Lions","Richmond","Gregory Tivendale (RICH)","2"
2006,4,"Brisbane Lions","Richmond","Luke Power (BL)","1"
2006,4,"Brisbane Lions","Richmond","Troy Simmonds (RICH)","1"
2006,4,"North Melbourne","West Coast Eagles","Adam Hunter (WCE)","10"
2006,4,"North Melbourne","West Coast Eagles","Chris Judd (WCE)","7"
2006,4,"North Melbourne","West Coast Eagles","Tyson Stenglein (WCE)","4"
2006,4,"North Melbourne","West Coast Eagles","Leigh Brown (NMFC)","3"
2006,4,"North Melbourne","West Coast Eagles","Michael Firrito (NMFC)","3"
2006,4,"North Melbourne","West Coast Eagles","David Wirrpanda (WCE)","2"
2006,4,"North Melbourne","West Coast Eagles","Adam Selwood (WCE)","1"
2006,4,"Sydney Swans","Melbourne","Brad Miller (MELB)","9"
2006,4,"Sydney Swans","Melbourne","Byron Pickett (MELB)","9"
2006,4,"Sydney Swans","Melbourne","Cameron Bruce (MELB)","5"
2006,4,"Sydney Swans","Melbourne","Adam Schneider (SYD)","3"
2006,4,"Sydney Swans","Melbourne","Amon Buchanan (SYD)","3"
2006,4,"Sydney Swans","Melbourne","Ben Mathews (SYD)","1"
2006,4,"Port Adelaide","St Kilda","Chad Cornes (PORT)","8"
2006,4,"Port Adelaide","St Kilda","Brendon Lade (PORT)","8"
2006,4,"Port Adelaide","St Kilda","Josh Mahoney (PORT)","7"
2006,4,"Port Adelaide","St Kilda","Shaun Burgoyne (PORT)","3"
2006,4,"Port Adelaide","St Kilda","Nick Riewoldt (STK)","2"
2006,4,"Port Adelaide","St Kilda","Peter Burgoyne (PORT)","1"
2006,4,"Port Adelaide","St Kilda","Stuart Dew (PORT)","1"
2006,4,"Collingwood","Essendon","David Hille (ESS)","7"
2006,4,"Collingwood","Essendon","James Hird (ESS)","5"
2006,4,"Collingwood","Essendon","Alan Didak (COLL)","5"
2006,4,"Collingwood","Essendon","Ben Johnson (COLL)","5"
2006,4,"Collingwood","Essendon","Nathan Lovett-Murray (ESS)","5"
2006,4,"Collingwood","Essendon","James Clement (COLL)","3"
2006,5,"Richmond","Carlton","Matthew Richardson (RICH)","10"
2006,5,"Richmond","Carlton","Joel Bowden (RICH)","8"
2006,5,"Richmond","Carlton","Christopher Hyde (RICH)","3"
2006,5,"Richmond","Carlton","Anthony Koutoufides (CARL)","3"
2006,5,"Richmond","Carlton","Andrew Raines (RICH)","3"
2006,5,"Richmond","Carlton","Lance Whitnall (CARL)","2"
2006,5,"Richmond","Carlton","Andrew Walker (CARL)","1"
2006,5,"Melbourne","North Melbourne","Byron Pickett (MELB)","10"
2006,5,"Melbourne","North Melbourne","Nathan Thompson (NMFC)","8"
2006,5,"Melbourne","North Melbourne","Adem Yze (MELB)","3"
2006,5,"Melbourne","North Melbourne","Aaron Davey (MELB)","3"
2006,5,"Melbourne","North Melbourne","Cameron Bruce (MELB)","2"
2006,5,"Melbourne","North Melbourne","Matthew Whelan (MELB)","2"
2006,5,"Melbourne","North Melbourne","Leigh Brown (NMFC)","1"
2006,5,"Melbourne","North Melbourne","Michael Firrito (NMFC)","1"
2006,5,"Adelaide Crows","Western Bulldogs","Simon Goodwin (ADEL)","10"
2006,5,"Adelaide Crows","Western Bulldogs","Andrew McLeod (ADEL)","8"
2006,5,"Adelaide Crows","Western Bulldogs","Benjamin Hart (ADEL)","4"
2006,5,"Adelaide Crows","Western Bulldogs","Tyson Edwards (ADEL)","3"
2006,5,"Adelaide Crows","Western Bulldogs","Brent Reilly (ADEL)","3"
2006,5,"Adelaide Crows","Western Bulldogs","Martin Mattner (ADEL)","1"
2006,5,"Adelaide Crows","Western Bulldogs","Brian Lake (WB)","1"
2006,5,"West Coast Eagles","Brisbane Lions","Chris Judd (WCE)","10"
2006,5,"West Coast Eagles","Brisbane Lions","Jonathan Brown (BL)","5"
2006,5,"West Coast Eagles","Brisbane Lions","Tyson Stenglein (WCE)","5"
2006,5,"West Coast Eagles","Brisbane Lions","Beau Waters (WCE)","4"
2006,5,"West Coast Eagles","Brisbane Lions","Simon Black (BL)","3"
2006,5,"West Coast Eagles","Brisbane Lions","Josh Wooden (WCE)","2"
2006,5,"West Coast Eagles","Brisbane Lions","Dean Cox (WCE)","1"
2006,5,"Sydney Swans","Geelong Cats","Jude Bolton (SYD)","9"
2006,5,"Sydney Swans","Geelong Cats","Barry Hall (SYD)","9"
2006,5,"Sydney Swans","Geelong Cats","Gary Ablett (GEEL)","4"
2006,5,"Sydney Swans","Geelong Cats","Cameron Mooney (GEEL)","3"
2006,5,"Sydney Swans","Geelong Cats","Michael O'Loughlin (SYD)","2"
2006,5,"Sydney Swans","Geelong Cats","Adam Schneider (SYD)","2"
2006,5,"Sydney Swans","Geelong Cats","Craig Bolton (SYD)","1"
2006,5,"St Kilda","Fremantle","Matthew Pavlich (FRE)","10"
2006,5,"St Kilda","Fremantle","Jason Blake (STK)","8"
2006,5,"St Kilda","Fremantle","Michael Johnson (FRE)","6"
2006,5,"St Kilda","Fremantle","Joshua Carr (FRE)","2"
2006,5,"St Kilda","Fremantle","Nick Dal Santo (STK)","2"
2006,5,"St Kilda","Fremantle","Desmond Headland (FRE)","1"
