MatchId,Player,Team,RatingPoints,EstimatedRating,CoachesVotes,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,Turnovers,Tackles,PressureActs,ContestedPossessions,GroundBallGets,Intercepts,Marks,InterceptMarks,ContestedMarks,TotalClearances,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,ScoreLaunches,Season,Round
20160101,Connor Menadue,Richmond,8.6,5.63,0,80,67,82,7,6,13,76.9,217,1,2,4,26.0,4,4.0,4,4,1.0,0,1,0.0,0,0.0,2,2,0,2,7,2.0,2016,1
20160101,Simon White,Carlton,8.5,6.12,0,63,42,77,8,5,13,84.6,199,0,1,1,3.0,5,3.0,8,2,1.0,0,0,0.0,0,0.0,0,0,0,0,3,2.0,2016,1
20160101,Corey Ellis,Richmond,8.3,5.34,0,59,62,81,8,3,11,63.6,341,4,4,4,18.0,3,1.0,2,3,1.0,1,0,0.0,0,0.0,1,1,0,0,3,0.0,2016,1
20160101,David Astbury,Richmond,8.0,7.8,0,67,63,90,10,6,16,68.8,275,1,4,0,5.0,6,4.0,10,7,5.0,2,0,0.0,0,0.0,0,0,0,0,1,0.0,2016,1
20160101,Nick Graham,Carlton,7.8,9.59,0,85,92,88,13,10,23,78.3,342,4,4,3,15.0,4,3.0,2,7,0.0,0,1,0.0,0,0.0,1,0,1,1,6,0.0,2016,1
20160101,Kade Simpson,Carlton,7.3,10.58,0,104,118,95,21,10,31,74.2,537,4,9,1,5.0,6,5.0,7,10,2.0,0,2,0.0,0,0.0,0,0,0,0,3,0.0,2016,1
20160101,Brandon Ellis,Richmond,7.2,8.95,0,84,70,88,11,10,21,81.0,160,0,3,2,10.0,8,6.0,3,3,0.0,1,2,0.0,0,0.0,0,0,0,1,2,1.0,2016,1
20160101,Zach Tuohy,Carlton,7.0,8.78,0,86,63,89,13,5,18,88.9,246,6,3,1,6.0,5,4.0,6,5,1.0,0,0,0.0,0,0.0,0,0,0,2,7,2.0,2016,1
20160101,Jack Riewoldt,Richmond,6.0,12.5,0,90,85,96,10,8,18,66.7,148,1,2,3,17.0,9,6.0,0,6,0.0,0,2,0.0,0,0.0,5,2,1,0,6,0.0,2016,1
20160101,Michael Jamison,Carlton,5.4,6.96,0,47,28,85,4,5,9,88.9,66,0,1,0,7.0,4,3.0,4,3,0.0,0,0,0.0,0,0.0,0,0,0,0,1,0.0,2016,1
20160101,Sam Rowe,Carlton,5.2,8.66,0,50,47,98,7,5,12,91.7,62,1,1,0,3.0,3,1.0,5,6,3.0,1,0,0.0,0,0.0,0,0,0,0,3,1.0,2016,1
20160101,Jed Lamb,Carlton,4.8,6.69,0,46,50,78,9,4,13,61.5,303,1,5,1,7.0,4,3.0,1,2,0.0,0,0,0.0,0,0.0,1,1,0,0,2,0.0,2016,1
20160101,Steven Morris,Richmond,3.7,5.74,0,23,18,71,2,2,4,100.0,133,2,1,2,13.0,1,1.0,1,0,0.0,0,0,0.0,0,0.0,0,0,0,0,1,0.0,2016,1
20160101,Shaun Hampson,Richmond,3.6,7.58,0,51,47,76,2,6,8,62.5,49,0,1,0,5.0,3,2.0,1,1,1.0,0,1,65.0,24,7.0,1,0,1,0,2,1.0,2016,1
20160101,Andrew Walker,Carlton,3.5,7.78,0,52,49,80,7,2,9,55.6,114,2,2,1,10.0,6,3.0,3,4,0.0,2,0,0.0,0,0.0,2,1,1,1,3,0.0,2016,1
20160101,Bachar Houli,Richmond,2.2,8.69,0,74,78,90,15,9,24,75.0,544,3,9,0,11.0,5,3.0,2,6,1.0,1,1,0.0,0,0.0,0,0,0,1,3,0.0,2016,1
