MatchId,Player,Team,RatingPoints,EstimatedRating,CoachesVotes,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,Intercepts,Marks,InterceptMarks,ContestedMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,ScoreLaunches,Season,Round
20190101,Kade Simpson,Carlton,7.7,10.85,0,83,87,84,14,11,25,76.0,462,1,2,1,8,,4,4,6,6,2,0,,1,1.0,0,0,0,0,0,0,0,2,1,2019,1
20190101,David Astbury,Richmond,7.5,6.41,0,40,26,92,5,4,9,77.8,175,0,0,0,6,,4,4,5,1,0,0,,0,0.0,0,0,0,0,0,0,0,4,2,2019,1
20190101,Sam Petrevski-Seton,Carlton,7.3,7.64,0,63,81,85,12,6,18,61.1,282,4,6,2,15,,4,2,4,8,1,0,,2,2.0,0,0,0,0,0,0,0,0,0,2019,1
20190101,Charlie Curnow,Carlton,6.7,9.94,0,44,41,94,10,2,12,50.0,194,2,3,1,7,,6,6,0,1,0,0,,0,0.0,0,0,0,2,1,0,0,4,0,2019,1
20190101,Jarrod Garlett,Carlton,6.6,6.02,0,39,51,68,8,1,9,44.4,202,0,2,4,12,,5,4,4,3,1,0,,1,1.0,0,0,0,0,0,0,0,2,2,2019,1
20190101,Nathan Broad,Richmond,6.1,6.42,0,45,32,80,4,4,8,75.0,187,0,1,2,10,,3,2,3,1,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,2019,1
20190101,Paddy Dow,Carlton,5.4,8.81,0,66,66,76,8,13,21,66.7,195,3,4,2,20,,9,9,5,3,0,0,,1,1.0,0,0,0,1,0,1,0,5,0,2019,1
20190101,Noah Balta,Richmond,5.1,5.36,0,18,29,52,5,0,5,80.0,223,3,2,1,11,,2,0,1,2,1,0,,1,1.0,19,6,0,2,1,0,0,2,1,2019,1
20190101,David Cuningham,Carlton,4.7,6.59,0,67,83,79,9,13,22,68.2,328,5,4,5,16,,10,6,0,5,0,0,,3,6.0,0,0,0,1,0,0,1,6,1,2019,1
20190101,Alex Rance,Richmond,4.6,11.82,0,36,24,68,3,3,6,83.3,45,0,1,2,6,,4,3,6,2,2,0,,0,0.0,0,0,0,0,0,0,0,0,0,2019,1
20190101,Will Setterfield,Carlton,4.1,4.09,0,69,71,66,14,10,24,50.0,332,3,5,1,19,,8,5,1,2,1,0,,3,5.0,0,0,0,2,0,1,2,4,0,2019,1
20190101,Ed Curnow,Carlton,3.9,10.55,0,98,113,82,13,12,25,72.0,303,3,6,3,7,,7,6,0,12,0,0,,2,2.0,0,0,0,1,0,1,1,8,2,2019,1
20190101,Michael Gibbons,Carlton,3.9,5.36,0,35,43,71,5,6,11,72.7,168,1,2,3,7,,3,3,0,2,0,0,,0,0.0,0,0,0,1,0,1,0,5,0,2019,1
20190101,Mitch McGovern,Carlton,3.9,8.62,0,44,53,75,8,3,11,63.6,230,3,4,0,7,,5,4,2,5,0,0,,0,0.0,0,0,0,2,1,1,0,5,0,2019,1
20190101,Jack Riewoldt,Richmond,3.1,13.75,0,50,32,98,6,2,8,50.0,71,1,7,2,4,,9,5,2,2,0,1,,0,0.0,1,0,0,4,1,1,2,5,1,2019,1
20190101,Sam Walsh,Carlton,1.6,5.72,0,68,87,82,16,8,24,54.2,430,5,7,1,21,,8,7,1,6,0,0,,4,5.0,0,0,0,1,0,1,1,5,0,2019,1
20190101,Jayden Short,Richmond,1.6,10.18,0,67,83,89,18,2,20,70.0,694,2,8,3,15,,3,1,2,5,1,1,,1,1.0,0,0,0,2,0,1,0,4,0,2019,1
20190101,Alex Fasolo,Carlton,0.9,7.98,0,26,28,72,4,1,5,80.0,74,0,2,1,5,,1,0,1,2,0,0,,0,0.0,0,0,0,2,1,0,0,2,1,2019,1
20190102,Rhys Stanley,Geelong,17.2,11.77,3,108,85,77,11,7,18,94.4,345,6,2,2,9,,12,5,7,4,3,1,,6,8.0,61,23,5,0,0,0,0,6,6,2019,1
20190102,Tim Kelly,Geelong,16.9,11.27,10,106,108,81,17,14,31,67.7,597,6,5,4,28,,12,8,2,5,1,0,,9,8.0,0,0,0,1,0,0,2,4,2,2019,1
20190102,Joel Selwood,Geelong,14.2,12.65,0,98,100,85,16,9,25,52.0,373,2,3,2,21,,10,9,8,7,1,0,,1,2.0,0,0,0,2,1,1,1,5,1,2019,1
20190102,Gary Ablett,Geelong,13.3,13.67,2,84,93,82,13,10,23,73.9,487,4,5,3,12,,8,6,3,6,0,1,,2,2.0,0,0,0,3,2,1,0,5,2,2019,1
20190102,Dayne Beams,Collingwood,13.2,12.22,0,98,90,79,14,9,23,69.6,377,5,4,3,16,,10,8,0,4,0,1,,5,4.0,0,0,0,1,1,0,1,7,1,2019,1
20190102,Jamie Elliott,Collingwood,13.1,8.84,0,84,79,74,7,1,8,100.0,185,2,0,5,10,,2,1,0,6,0,1,,1,1.0,0,0,0,3,3,0,1,6,1,2019,1
20190102,Scott Pendlebury,Collingwood,13.0,13.33,0,96,90,82,11,13,24,83.3,345,4,1,2,26,,9,4,1,7,0,0,,6,5.0,0,0,0,1,0,1,0,5,0,2019,1
20190102,Brandan Parfitt,Geelong,12.5,9.12,0,96,84,83,13,9,22,72.7,362,4,6,6,21,,10,8,2,1,0,0,,4,5.0,0,0,0,2,1,0,0,3,1,2019,1
20190102,Harry Taylor,Geelong,12.1,8.81,3,100,71,86,7,9,16,93.8,22,1,0,3,7,,8,4,8,6,2,2,,0,0.0,0,0,0,0,0,0,0,2,1,2019,1
20190102,Adam Treloar,Collingwood,11.6,13.57,0,102,125,77,14,20,34,61.8,397,6,10,6,24,,12,10,3,5,0,0,,4,5.0,0,0,0,2,1,0,0,6,1,2019,1
20190102,Mitch Duncan,Geelong,11.5,13.04,0,100,95,86,13,6,19,73.7,253,1,0,3,12,,5,3,1,8,0,0,,1,1.0,1,0,0,2,1,1,0,5,0,2019,1
