MatchId,Player,Team,RatingPoints,EstimatedRating,CoachesVotes,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,Turnovers,Tackles,PressureActs,ContestedPossessions,GroundBallGets,Intercepts,Marks,InterceptMarks,ContestedMarks,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,ScoreLaunches,Season,Round
20170101,Dustin Martin,Richmond,33.8,13.23,10,159,139,89,23,10,33,72.7,801,6,5,4,12,13,6,2,5,1,1,6,9,0,0,0,4,4,0,4,13,4,2017,1
20170101,Dion Prestia,Richmond,22.4,12.62,8,115,103,77,15,13,28,82.1,386,3,4,5,14,9,7,4,2,0,0,6,4,0,0,0,1,1,0,1,5,2,2017,1
20170101,Toby Nankervis,Richmond,21.8,8.66,0,114,83,78,7,1,8,87.5,153,2,0,3,11,6,2,2,3,2,3,3,3,68,27,13,2,2,0,0,5,4,2017,1
20170101,Dan Butler,Richmond,21.4,5.72,1,96,72,86,12,7,19,68.4,284,5,2,3,16,5,5,3,1,0,0,1,1,0,0,0,3,2,1,1,9,4,2017,1
20170101,Matthew Kreuzer,Carlton,20.5,9.47,3,121,120,84,11,4,15,40.0,255,2,3,4,20,8,4,0,4,0,1,4,7,77,39,13,2,2,0,1,3,1,2017,1
20170101,Bryce Gibbs,Carlton,20.0,12.38,0,104,105,79,14,12,26,69.2,435,4,4,6,18,15,8,3,4,1,0,7,11,0,0,0,2,1,1,1,5,1,2017,1
20170101,Lachie Plowman,Carlton,19.5,7.07,0,103,87,92,12,8,20,95.0,238,0,1,1,8,5,2,6,10,4,2,0,0,0,0,0,0,0,0,0,3,1,2017,1
20170101,Trent Cotchin,Richmond,18.8,12.59,1,113,98,79,11,10,21,81.0,410,5,4,8,16,12,10,2,3,0,0,8,6,0,0,0,1,1,0,0,5,2,2017,1
20170101,Sam Rowe,Carlton,17.3,7.84,0,72,36,100,6,6,12,83.3,172,0,2,1,7,7,5,8,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2017,1
20170101,Matthew Wright,Carlton,16.1,11.27,0,94,87,86,7,7,14,85.7,152,0,1,5,16,7,4,1,4,0,1,1,1,0,0,0,3,3,0,0,8,2,2017,1
