Kicks,Handballs,Disposals,Goals,Marks,Tackles,Hit.Outs,Clearances,Contested.Possessions,Uncontested.Possessions,Contested.Marks,Marks.Inside.50,Goal.Assists,Inside.50s,Rebounds,One.Percenters,Clangers,Is_Win,Is_Loss,Margin,Abs_Margin,Season,Brownlow.Votes,Player_Name,Playing.for,Round_num,ID,Exp_Votes,Home.team,Away.team,Home.score,Away.score,Team
11.0,3.0,14.0,0,4.0,3.0,0.0,1.0,3.0,11.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,1,0,40,40,2004,0.0,Joel Bowden,Richmond,1,890,,Richmond,Collingwood,97,57,Richmond
23.0,6.0,29.0,2,7.0,4.0,0.0,2.0,5.0,24.0,0.0,2.0,2.0,6.0,3.0,3.0,4.0,1,0,40,40,2004,3.0,Nathan Brown,Richmond,1,452,,Richmond,Collingwood,97,57,Richmond
13.0,8.0,21.0,0,5.0,5.0,0.0,3.0,7.0,14.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1,0,40,40,2004,0.0,Wayne Campbell,Richmond,1,869,,Richmond,Collingwood,97,57,Richmond
13.0,9.0,22.0,1,6.0,2.0,0.0,6.0,12.0,11.0,0.0,1.0,0.0,5.0,1.0,2.0,2.0,1,0,40,40,2004,0.0,Mark Coughlan,Richmond,1,916,,Richmond,Collingwood,97,57,Richmond
14.0,1.0,15.0,0,4.0,5.0,0.0,1.0,4.0,10.0,0.0,0.0,1.0,5.0,3.0,2.0,3.0,1,0,40,40,2004,0.0,Aaron Fiora,Richmond,1,911,,Richmond,Collingwood,97,57,Richmond
4.0,0.0,4.0,0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1,0,40,40,2004,0.0,Tim Fleming,Richmond,1,1437,,Richmond,Collingwood,97,57,Richmond
4.0,3.0,7.0,0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1,0,40,40,2004,0.0,Darren Gaspar,Richmond,1,886,,Richmond,Collingwood,97,57,Richmond
4.0,7.0,11.0,1,4.0,1.0,0.0,0.0,7.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1,0,40,40,2004,0.0,Ray Hall,Richmond,1,904,,Richmond,Collingwood,97,57,Richmond
5.0,4.0,9.0,0,3.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1,0,40,40,2004,0.0,Brent Hartigan,Richmond,1,3947,,Richmond,Collingwood,97,57,Richmond
6.0,6.0,12.0,0,7.0,3.0,0.0,2.0,4.0,9.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1,0,40,40,2004,0.0,Chris Hyde,Richmond,1,1194,,Richmond,Collingwood,97,57,Richmond
24.0,7.0,31.0,0,10.0,5.0,0.0,4.0,6.0,25.0,0.0,0.0,0.0,9.0,2.0,5.0,3.0,1,0,40,40,2004,1.0,Kane Johnson,Richmond,1,43,,Richmond,Collingwood,97,57,Richmond
9.0,5.0,14.0,1,6.0,1.0,0.0,0.0,6.0,9.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,1,0,40,40,2004,0.0,Andrew Kellaway,Richmond,1,899,,Richmond,Collingwood,97,57,Richmond
9.0,10.0,19.0,1,5.0,4.0,0.0,5.0,8.0,9.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,1,0,40,40,2004,0.0,Andrew Krakouer,Richmond,1,915,,Richmond,Collingwood,97,57,Richmond
11.0,5.0,16.0,0,8.0,0.0,0.0,0.0,5.0,12.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1,0,40,40,2004,0.0,Shane Morrison,Richmond,1,1144,,Richmond,Collingwood,97,57,Richmond
10.0,4.0,14.0,0,4.0,3.0,0.0,2.0,6.0,8.0,1.0,1.0,0.0,3.0,2.0,6.0,1.0,1,0,40,40,2004,0.0,Chris Newman,Richmond,1,1150,,Richmond,Collingwood,97,57,Richmond
3.0,5.0,8.0,0,3.0,3.0,28.0,3.0,7.0,2.0,1.0,1.0,1.0,0.0,1.0,4.0,5.0,1,0,40,40,2004,0.0,Brad Ottens,Richmond,1,897,,Richmond,Collingwood,97,57,Richmond
10.0,6.0,16.0,5,13.0,0.0,0.0,0.0,8.0,8.0,6.0,10.0,1.0,1.0,0.0,0.0,5.0,1,0,40,40,2004,2.0,Matthew Richardson,Richmond,1,870,,Richmond,Collingwood,97,57,Richmond
7.0,10.0,17.0,1,2.0,4.0,0.0,3.0,10.0,7.0,0.0,1.0,1.0,4.0,0.0,2.0,2.0,1,0,40,40,2004,0.0,David Rodan,Richmond,1,1104,,Richmond,Collingwood,97,57,Richmond
0.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,40,40,2004,0.0,Jay Schulz,Richmond,1,1451,,Richmond,Collingwood,97,57,Richmond
11.0,4.0,15.0,0,6.0,0.0,11.0,4.0,7.0,8.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,1,0,40,40,2004,0.0,Greg Stafford,Richmond,1,994,,Richmond,Collingwood,97,57,Richmond
15.0,4.0,19.0,1,7.0,2.0,0.0,1.0,5.0,14.0,0.0,1.0,0.0,3.0,4.0,3.0,1.0,1,0,40,40,2004,0.0,Greg Tivendale,Richmond,1,901,,Richmond,Collingwood,97,57,Richmond
5.0,3.0,8.0,1,4.0,1.0,0.0,2.0,5.0,3.0,1.0,0.0,1.0,3.0,0.0,4.0,2.0,1,0,40,40,2004,0.0,Ty Zantuck,Richmond,1,909,,Richmond,Collingwood,97,57,Richmond
27.0,4.0,31.0,1,8.0,3.0,0.0,8.0,14.0,16.0,1.0,0.0,0.0,4.0,6.0,3.0,2.0,0,1,-40,40,2004,0.0,Nathan Buckley,Collingwood,1,217,,Richmond,Collingwood,97,57,Collingwood
4.0,5.0,9.0,0,4.0,1.0,0.0,2.0,3.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0,1,-40,40,2004,0.0,Scott Burns,Collingwood,1,211,,Richmond,Collingwood,97,57,Collingwood
11.0,6.0,17.0,0,5.0,1.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,1.0,9.0,4.0,1.0,0,1,-40,40,2004,0.0,James Clement,Collingwood,1,299,,Richmond,Collingwood,97,57,Collingwood
3.0,4.0,7.0,0,3.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0,1,-40,40,2004,0.0,Jason Cloke,Collingwood,1,1121,,Richmond,Collingwood,97,57,Collingwood
9.0,5.0,14.0,0,1.0,4.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,0,1,-40,40,2004,0.0,Richard Cole,Collingwood,1,1103,,Richmond,Collingwood,97,57,Collingwood
