Kicks,Handballs,Disposals,Goals,Marks,Tackles,Hit.Outs,Clearances,Contested.Possessions,Uncontested.Possessions,Contested.Marks,Marks.Inside.50,Goal.Assists,Inside.50s,Rebounds,One.Percenters,Clangers,Is_Win,Is_Loss,Margin,Abs_Margin,Season,Brownlow.Votes,Player_Name,Playing.for,Round_num,ID,Exp_Votes,Home.team,Away.team,Home.score,Away.score,Team
6.0,5.0,11.0,1,2.0,3.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1,0,23,23,2005,0.0,Jed Adcock,Brisbane Lions,1,3976,,Brisbane Lions,St Kilda,116,93,Brisbane Lions
10.0,7.0,17.0,2,5.0,7.0,0.0,2.0,2.0,15.0,1.0,0.0,0.0,8.0,2.0,3.0,2.0,1,0,23,23,2005,0.0,Jason Akermanis,Brisbane Lions,1,119,,Brisbane Lions,St Kilda,116,93,Brisbane Lions
3.0,2.0,5.0,2,2.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1,0,23,23,2005,0.0,Daniel Bradshaw,Brisbane Lions,1,134,,Brisbane Lions,St Kilda,116,93,Brisbane Lions
6.0,5.0,11.0,4,5.0,2.0,0.0,0.0,7.0,4.0,2.0,3.0,1.0,2.0,0.0,6.0,2.0,1,0,23,23,2005,0.0,Jared Brennan,Brisbane Lions,1,1438,,Brisbane Lions,St Kilda,116,93,Brisbane Lions
3.0,2.0,5.0,0,2.0,1.0,12.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,1,0,23,23,2005,0.0,Jamie Charman,Brisbane Lions,1,1098,,Brisbane Lions,St Kilda,116,93,Brisbane Lions
7.0,10.0,17.0,1,0.0,4.0,0.0,4.0,8.0,9.0,0.0,0.0,0.0,2.0,1.0,5.0,2.0,1,0,23,23,2005,0.0,Robert Copeland,Brisbane Lions,1,1099,,Brisbane Lions,St Kilda,116,93,Brisbane Lions
4.0,3.0,7.0,0,3.0,4.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0,23,23,2005,0.0,Anthony Corrie,Brisbane Lions,1,3952,,Brisbane Lions,St Kilda,116,93,Brisbane Lions
16.0,9.0,25.0,0,6.0,4.0,0.0,2.0,11.0,11.0,0.0,0.0,1.0,4.0,11.0,2.0,0.0,1,0,23,23,2005,1.0,Chris Johnson,Brisbane Lions,1,385,,Brisbane Lions,St Kilda,116,93,Brisbane Lions
7.0,1.0,8.0,2,2.0,1.0,4.0,1.0,5.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1,0,23,23,2005,0.0,Clark Keating,Brisbane Lions,1,132,,Brisbane Lions,St Kilda,116,93,Brisbane Lions
4.0,8.0,12.0,1,1.0,1.0,0.0,2.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,23,23,2005,0.0,Nigel Lappin,Brisbane Lions,1,100,,Brisbane Lions,St Kilda,116,93,Brisbane Lions
13.0,11.0,24.0,0,6.0,3.0,1.0,0.0,8.0,17.0,0.0,0.0,0.0,2.0,12.0,5.0,4.0,1,0,23,23,2005,0.0,Justin Leppitsch,Brisbane Lions,1,98,,Brisbane Lions,St Kilda,116,93,Brisbane Lions
10.0,9.0,19.0,0,3.0,2.0,0.0,1.0,3.0,17.0,0.0,0.0,2.0,3.0,3.0,0.0,5.0,1,0,23,23,2005,0.0,Joel Macdonald,Brisbane Lions,1,3984,,Brisbane Lions,St Kilda,116,93,Brisbane Lions
3.0,2.0,5.0,2,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,23,23,2005,0.0,Ashley McGrath,Brisbane Lions,1,1100,,Brisbane Lions,St Kilda,116,93,Brisbane Lions
3.0,4.0,7.0,0,2.0,0.0,18.0,1.0,6.0,3.0,0.0,0.0,0.0,1.0,2.0,5.0,2.0,1,0,23,23,2005,0.0,Dylan McLaren,Brisbane Lions,1,1101,,Brisbane Lions,St Kilda,116,93,Brisbane Lions
4.0,2.0,6.0,0,3.0,1.0,2.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,11.0,2.0,1,0,23,23,2005,0.0,Mal Michael,Brisbane Lions,1,255,,Brisbane Lions,St Kilda,116,93,Brisbane Lions
12.0,9.0,21.0,0,4.0,0.0,0.0,3.0,8.0,12.0,0.0,1.0,1.0,3.0,1.0,2.0,6.0,1,0,23,23,2005,0.0,Tim Notting,Brisbane Lions,1,1087,,Brisbane Lions,St Kilda,116,93,Brisbane Lions
6.0,5.0,11.0,2,5.0,7.0,1.0,0.0,4.0,8.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,1,0,23,23,2005,0.0,Martin Pike,Brisbane Lions,1,373,,Brisbane Lions,St Kilda,116,93,Brisbane Lions
