Kicks,Handballs,Disposals,Goals,Marks,Tackles,Hit.Outs,Clearances,Contested.Possessions,Uncontested.Possessions,Contested.Marks,Marks.Inside.50,Goal.Assists,Inside.50s,Rebounds,One.Percenters,Clangers,Is_Win,Is_Loss,Margin,Abs_Margin,Season,Brownlow.Votes,Player_Name,Playing.for,Round_num,ID,Exp_Votes,Home.team,Away.team,Home.score,Away.score,Team
2.0,3.0,5.0,1,2.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1,0,28,28,2003,0.0,Rupert Betheras,Collingwood,1,278,,Collingwood,Richmond,94,66,Collingwood
25.0,6.0,31.0,1,5.0,7.0,0.0,7.0,11.0,17.0,1.0,0.0,2.0,8.0,6.0,2.0,2.0,1,0,28,28,2003,2.0,Nathan Buckley,Collingwood,1,217,,Collingwood,Richmond,94,66,Collingwood
6.0,6.0,12.0,0,4.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1,0,28,28,2003,0.0,James Clement,Collingwood,1,299,,Collingwood,Richmond,94,66,Collingwood
8.0,3.0,11.0,2,2.0,1.0,1.0,2.0,5.0,6.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1,0,28,28,2003,0.0,Leon Davis,Collingwood,1,284,,Collingwood,Richmond,94,66,Collingwood
12.0,3.0,15.0,2,4.0,1.0,1.0,1.0,6.0,9.0,0.0,2.0,1.0,3.0,0.0,0.0,2.0,1,0,28,28,2003,0.0,Alan Didak,Collingwood,1,301,,Collingwood,Richmond,94,66,Collingwood
0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,28,28,2003,0.0,Brodie Holland,Collingwood,1,298,,Collingwood,Richmond,94,66,Collingwood
13.0,6.0,19.0,0,7.0,2.0,0.0,1.0,3.0,17.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,1,0,28,28,2003,0.0,Ben Johnson,Collingwood,1,286,,Collingwood,Richmond,94,66,Collingwood
9.0,7.0,16.0,0,5.0,3.0,0.0,0.0,7.0,9.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,1,0,28,28,2003,0.0,Tarkyn Lockyer,Collingwood,1,279,,Collingwood,Richmond,94,66,Collingwood
5.0,5.0,10.0,0,5.0,2.0,2.0,1.0,3.0,7.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1,0,28,28,2003,0.0,Matthew Lokan,Collingwood,1,1419,,Collingwood,Richmond,94,66,Collingwood
5.0,4.0,9.0,0,1.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1,0,28,28,2003,0.0,Ryan Lonie,Collingwood,1,294,,Collingwood,Richmond,94,66,Collingwood
13.0,4.0,17.0,1,5.0,3.0,0.0,6.0,6.0,10.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1,0,28,28,2003,0.0,Mark McGough,Collingwood,1,1128,,Collingwood,Richmond,94,66,Collingwood
11.0,9.0,20.0,0,5.0,2.0,8.0,7.0,15.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1,0,28,28,2003,0.0,Steven McKee,Collingwood,1,289,,Collingwood,Richmond,94,66,Collingwood
6.0,2.0,8.0,2,3.0,5.0,2.0,2.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,1,0,28,28,2003,0.0,Jarrod Molloy,Collingwood,1,295,,Collingwood,Richmond,94,66,Collingwood
12.0,3.0,15.0,2,5.0,4.0,0.0,1.0,5.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1,0,28,28,2003,0.0,Shane OBree,Collingwood,1,287,,Collingwood,Richmond,94,66,Collingwood
6.0,2.0,8.0,0,3.0,3.0,3.0,1.0,6.0,2.0,1.0,1.0,0.0,2.0,0.0,5.0,9.0,1,0,28,28,2003,0.0,Anthony Rocca,Collingwood,1,251,,Collingwood,Richmond,94,66,Collingwood
2.0,5.0,7.0,0,2.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1,0,28,28,2003,0.0,Heath Scotland,Collingwood,1,280,,Collingwood,Richmond,94,66,Collingwood
6.0,3.0,9.0,0,5.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1,0,28,28,2003,0.0,Rhyce Shaw,Collingwood,1,291,,Collingwood,Richmond,94,66,Collingwood
6.0,0.0,6.0,0,5.0,1.0,0.0,0.0,1.0,5.0,0.0,4.0,0.0,2.0,0.0,3.0,1.0,1,0,28,28,2003,0.0,Chris Tarrant,Collingwood,1,264,,Collingwood,Richmond,94,66,Collingwood
10.0,3.0,13.0,0,5.0,1.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,8.0,5.0,1.0,1,0,28,28,2003,0.0,Shane Wakelin,Collingwood,1,297,,Collingwood,Richmond,94,66,Collingwood
3.0,7.0,10.0,0,2.0,3.0,0.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,1,0,28,28,2003,0.0,Tristen Walker,Collingwood,1,1420,,Collingwood,Richmond,94,66,Collingwood
16.0,7.0,23.0,1,10.0,1.0,0.0,1.0,7.0,16.0,1.0,1.0,0.0,6.0,2.0,3.0,0.0,1,0,28,28,2003,0.0,Andrew Williams,Collingwood,1,1063,,Collingwood,Richmond,94,66,Collingwood
