Kicks,Handballs,Disposals,Goals,Marks,Tackles,Hit.Outs,Clearances,Contested.Possessions,Uncontested.Possessions,Contested.Marks,Marks.Inside.50,Goal.Assists,Inside.50s,Rebounds,One.Percenters,Clangers,Is_Win,Is_Loss,Margin,Abs_Margin,Season,Brownlow.Votes,Player_Name,Playing.for,Round_num,ID,Exp_Votes,Home.team,Away.team,Home.score,Away.score,Team
11.0,8.0,19.0,2,1.0,3.0,0.0,4.0,8.0,11.0,0.0,0.0,,5.0,2.0,3.0,3.0,1,0,37,37,2002,0.0,Joel Bowden,Richmond,1,890,,Richmond,Collingwood,155,118,Richmond
9.0,7.0,16.0,0,3.0,0.0,0.0,2.0,10.0,6.0,0.0,1.0,,4.0,1.0,1.0,0.0,1,0,37,37,2002,0.0,Leon Cameron,Richmond,1,425,,Richmond,Collingwood,155,118,Richmond
16.0,3.0,19.0,0,4.0,2.0,0.0,5.0,7.0,12.0,0.0,0.0,,7.0,1.0,2.0,0.0,1,0,37,37,2002,0.0,Wayne Campbell,Richmond,1,869,,Richmond,Collingwood,155,118,Richmond
8.0,2.0,10.0,0,2.0,2.0,0.0,1.0,4.0,6.0,1.0,0.0,,0.0,0.0,4.0,2.0,1,0,37,37,2002,0.0,Aaron Fiora,Richmond,1,911,,Richmond,Collingwood,155,118,Richmond
6.0,4.0,10.0,1,4.0,0.0,0.0,2.0,4.0,6.0,1.0,1.0,,1.0,1.0,1.0,1.0,1,0,37,37,2002,0.0,Darren Gaspar,Richmond,1,886,,Richmond,Collingwood,155,118,Richmond
3.0,1.0,4.0,0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,,2.0,0.0,3.0,2.0,1,0,37,37,2002,0.0,Ray Hall,Richmond,1,904,,Richmond,Collingwood,155,118,Richmond
7.0,0.0,7.0,0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,,3.0,0.0,4.0,1.0,1,0,37,37,2002,0.0,Rory Hilton,Richmond,1,902,,Richmond,Collingwood,155,118,Richmond
4.0,3.0,7.0,0,5.0,3.0,0.0,0.0,1.0,6.0,0.0,0.0,,1.0,0.0,5.0,0.0,1,0,37,37,2002,0.0,Ben Holland,Richmond,1,913,,Richmond,Collingwood,155,118,Richmond
14.0,4.0,18.0,0,4.0,2.0,0.0,1.0,5.0,15.0,0.0,0.0,,6.0,1.0,2.0,0.0,1,0,37,37,2002,0.0,Adam Houlihan,Richmond,1,593,,Richmond,Collingwood,155,118,Richmond
11.0,3.0,14.0,1,7.0,2.0,0.0,1.0,4.0,10.0,1.0,1.0,,1.0,3.0,0.0,1.0,1,0,37,37,2002,0.0,Andrew Kellaway,Richmond,1,899,,Richmond,Collingwood,155,118,Richmond
9.0,5.0,14.0,1,3.0,0.0,0.0,5.0,5.0,9.0,0.0,1.0,,1.0,1.0,0.0,0.0,1,0,37,37,2002,0.0,Clinton King,Richmond,1,269,,Richmond,Collingwood,155,118,Richmond
9.0,8.0,17.0,0,2.0,0.0,0.0,3.0,5.0,12.0,0.0,0.0,,4.0,4.0,3.0,3.0,1,0,37,37,2002,0.0,Matthew Knights,Richmond,1,865,,Richmond,Collingwood,155,118,Richmond
5.0,2.0,7.0,2,2.0,3.0,0.0,1.0,3.0,4.0,0.0,2.0,,1.0,0.0,4.0,1.0,1,0,37,37,2002,0.0,Andrew Krakouer,Richmond,1,915,,Richmond,Collingwood,155,118,Richmond
11.0,2.0,13.0,4,9.0,2.0,18.0,1.0,10.0,4.0,5.0,4.0,,1.0,1.0,3.0,2.0,1,0,37,37,2002,0.0,Brad Ottens,Richmond,1,897,,Richmond,Collingwood,155,118,Richmond
13.0,3.0,16.0,6,9.0,0.0,1.0,0.0,7.0,9.0,4.0,6.0,,2.0,0.0,0.0,2.0,1,0,37,37,2002,3.0,Matthew Richardson,Richmond,1,870,,Richmond,Collingwood,155,118,Richmond
2.0,1.0,3.0,0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,,0.0,1.0,2.0,1.0,1,0,37,37,2002,0.0,David Rodan,Richmond,1,1104,,Richmond,Collingwood,155,118,Richmond
9.0,5.0,14.0,1,5.0,1.0,0.0,0.0,4.0,10.0,0.0,1.0,,1.0,1.0,0.0,2.0,1,0,37,37,2002,0.0,Matthew Rogers,Richmond,1,864,,Richmond,Collingwood,155,118,Richmond
8.0,3.0,11.0,1,6.0,1.0,15.0,0.0,3.0,8.0,0.0,1.0,,2.0,0.0,1.0,1.0,1,0,37,37,2002,0.0,Greg Stafford,Richmond,1,994,,Richmond,Collingwood,155,118,Richmond
3.0,2.0,5.0,1,2.0,2.0,0.0,1.0,3.0,3.0,0.0,1.0,,0.0,0.0,2.0,0.0,1,0,37,37,2002,0.0,Steven Sziller,Richmond,1,914,,Richmond,Collingwood,155,118,Richmond
13.0,1.0,14.0,3,4.0,1.0,0.0,1.0,5.0,7.0,0.0,0.0,,5.0,2.0,3.0,2.0,1,0,37,37,2002,2.0,Greg Tivendale,Richmond,1,901,,Richmond,Collingwood,155,118,Richmond
12.0,7.0,19.0,0,7.0,0.0,0.0,3.0,9.0,10.0,3.0,1.0,,0.0,3.0,5.0,0.0,1,0,37,37,2002,0.0,Jason Torney,Richmond,1,883,,Richmond,Collingwood,155,118,Richmond
3.0,0.0,3.0,1,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,1.0,1.0,1.0,0.0,1,0,37,37,2002,0.0,Ty Zantuck,Richmond,1,909,,Richmond,Collingwood,155,118,Richmond
9.0,7.0,16.0,0,6.0,2.0,0.0,1.0,3.0,11.0,0.0,0.0,,4.0,2.0,4.0,1.0,0,1,-37,37,2002,0.0,Rupert Betheras,Collingwood,1,278,,Richmond,Collingwood,155,118,Collingwood
24.0,8.0,32.0,0,8.0,4.0,2.0,8.0,9.0,22.0,1.0,0.0,,7.0,3.0,4.0,4.0,0,1,-37,37,2002,1.0,Nathan Buckley,Collingwood,1,217,,Richmond,Collingwood,155,118,Collingwood
12.0,7.0,19.0,0,8.0,1.0,0.0,2.0,7.0,12.0,2.0,0.0,,4.0,1.0,1.0,1.0,0,1,-37,37,2002,0.0,Scott Burns,Collingwood,1,211,,Richmond,Collingwood,155,118,Collingwood
7.0,8.0,15.0,0,1.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,,1.0,3.0,3.0,2.0,0,1,-37,37,2002,0.0,James Clement,Collingwood,1,299,,Richmond,Collingwood,155,118,Collingwood
3.0,1.0,4.0,0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,1.0,0.0,0.0,0.0,0,1,-37,37,2002,0.0,Richard Cole,Collingwood,1,1103,,Richmond,Collingwood,155,118,Collingwood
6.0,0.0,6.0,5,5.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,,0.0,0.0,1.0,2.0,0,1,-37,37,2002,0.0,Scott Cummings,Collingwood,1,315,,Richmond,Collingwood,155,118,Collingwood
9.0,2.0,11.0,1,1.0,0.0,0.0,1.0,6.0,5.0,0.0,0.0,,3.0,0.0,4.0,3.0,0,1,-37,37,2002,0.0,Leon Davis,Collingwood,1,284,,Richmond,Collingwood,155,118,Collingwood
4.0,2.0,6.0,1,3.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,,3.0,0.0,0.0,1.0,0,1,-37,37,2002,0.0,Nick Davis,Collingwood,1,272,,Richmond,Collingwood,155,118,Collingwood
3.0,0.0,3.0,0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,,0.0,1.0,4.0,3.0,0,1,-37,37,2002,0.0,Andrew Dimattina,Collingwood,1,290,,Richmond,Collingwood,155,118,Collingwood
2.0,4.0,6.0,1,1.0,3.0,6.0,3.0,5.0,2.0,0.0,0.0,,1.0,0.0,0.0,1.0,0,1,-37,37,2002,0.0,Josh Fraser,Collingwood,1,285,,Richmond,Collingwood,155,118,Collingwood
2.0,10.0,12.0,0,1.0,1.0,0.0,1.0,5.0,6.0,0.0,0.0,,0.0,2.0,2.0,3.0,0,1,-37,37,2002,0.0,Glenn Freeborn,Collingwood,1,273,,Richmond,Collingwood,155,118,Collingwood
9.0,3.0,12.0,3,5.0,1.0,0.0,2.0,5.0,6.0,1.0,2.0,,3.0,1.0,1.0,1.0,0,1,-37,37,2002,0.0,Brodie Holland,Collingwood,1,298,,Richmond,Collingwood,155,118,Collingwood
6.0,4.0,10.0,0,2.0,3.0,0.0,0.0,4.0,6.0,0.0,0.0,,3.0,2.0,3.0,3.0,0,1,-37,37,2002,0.0,Ben Johnson,Collingwood,1,286,,Richmond,Collingwood,155,118,Collingwood
8.0,12.0,20.0,0,1.0,6.0,0.0,5.0,4.0,16.0,0.0,0.0,,2.0,2.0,1.0,4.0,0,1,-37,37,2002,0.0,Paul Licuria,Collingwood,1,275,,Richmond,Collingwood,155,118,Collingwood
5.0,5.0,10.0,0,1.0,2.0,0.0,3.0,6.0,3.0,0.0,0.0,,2.0,1.0,3.0,2.0,0,1,-37,37,2002,0.0,Tarkyn Lockyer,Collingwood,1,279,,Richmond,Collingwood,155,118,Collingwood
3.0,3.0,6.0,0,1.0,2.0,0.0,0.0,3.0,4.0,1.0,0.0,,0.0,1.0,6.0,0.0,0,1,-37,37,2002,0.0,Simon Prestigiacomo,Collingwood,1,249,,Richmond,Collingwood,155,118,Collingwood
6.0,1.0,7.0,3,3.0,2.0,1.0,0.0,2.0,4.0,1.0,2.0,,2.0,1.0,1.0,2.0,0,1,-37,37,2002,0.0,Mark Richardson,Collingwood,1,221,,Richmond,Collingwood,155,118,Collingwood
12.0,4.0,16.0,1,5.0,1.0,0.0,1.0,2.0,14.0,1.0,2.0,,2.0,0.0,1.0,1.0,0,1,-37,37,2002,0.0,Chad Rintoul,Collingwood,1,48,,Richmond,Collingwood,155,118,Collingwood
7.0,7.0,14.0,2,7.0,2.0,15.0,1.0,9.0,5.0,4.0,1.0,,4.0,0.0,3.0,2.0,0,1,-37,37,2002,0.0,Anthony Rocca,Collingwood,1,251,,Richmond,Collingwood,155,118,Collingwood
14.0,6.0,20.0,0,6.0,0.0,1.0,5.0,8.0,12.0,0.0,0.0,,2.0,2.0,0.0,2.0,0,1,-37,37,2002,0.0,Heath Scotland,Collingwood,1,280,,Richmond,Collingwood,155,118,Collingwood
10.0,5.0,15.0,1,4.0,4.0,1.0,3.0,10.0,5.0,1.0,1.0,,2.0,0.0,1.0,1.0,0,1,-37,37,2002,0.0,Chris Tarrant,Collingwood,1,264,,Richmond,Collingwood,155,118,Collingwood
0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0,1,-37,37,2002,0.0,Shane Wakelin,Collingwood,1,297,,Richmond,Collingwood,155,118,Collingwood
5.0,5.0,10.0,0,1.0,2.0,0.0,2.0,5.0,5.0,0.0,0.0,,2.0,0.0,5.0,0.0,1,0,24,24,2002,0.0,Steven Baker,St Kilda,1,967,,St Kilda,Carlton,89,65,St Kilda
11.0,6.0,17.0,1,4.0,4.0,0.0,5.0,7.0,11.0,0.0,0.0,,4.0,1.0,5.0,0.0,1,0,24,24,2002,0.0,Heath Black,St Kilda,1,520,,St Kilda,Carlton,89,65,St Kilda
4.0,7.0,11.0,0,3.0,2.0,0.0,4.0,6.0,5.0,1.0,0.0,,2.0,0.0,6.0,2.0,1,0,24,24,2002,0.0,Jason Blake,St Kilda,1,974,,St Kilda,Carlton,89,65,St Kilda
4.0,8.0,12.0,0,2.0,4.0,0.0,2.0,5.0,7.0,0.0,0.0,,2.0,0.0,1.0,1.0,1,0,24,24,2002,0.0,Nathan Burke,St Kilda,1,919,,St Kilda,Carlton,89,65,St Kilda
7.0,7.0,14.0,0,2.0,3.0,0.0,1.0,4.0,10.0,0.0,0.0,,1.0,1.0,0.0,5.0,1,0,24,24,2002,0.0,Jason Cripps,St Kilda,1,951,,St Kilda,Carlton,89,65,St Kilda
1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,0,24,24,2002,0.0,Chad Davis,St Kilda,1,969,,St Kilda,Carlton,89,65,St Kilda
11.0,7.0,18.0,0,8.0,2.0,0.0,0.0,7.0,10.0,2.0,0.0,,2.0,4.0,1.0,2.0,1,0,24,24,2002,0.0,Fraser Gehrig,St Kilda,1,976,,St Kilda,Carlton,89,65,St Kilda
5.0,2.0,7.0,1,4.0,7.0,0.0,2.0,5.0,3.0,1.0,3.0,,1.0,0.0,0.0,1.0,1,0,24,24,2002,0.0,Aaron Hamill,St Kilda,1,171,,St Kilda,Carlton,89,65,St Kilda
12.0,11.0,23.0,1,1.0,0.0,0.0,4.0,12.0,11.0,0.0,0.0,,3.0,3.0,1.0,2.0,1,0,24,24,2002,3.0,Robert Harvey,St Kilda,1,930,,St Kilda,Carlton,89,65,St Kilda
6.0,5.0,11.0,1,1.0,5.0,0.0,2.0,9.0,3.0,0.0,0.0,,4.0,0.0,1.0,1.0,1,0,24,24,2002,0.0,Lenny Hayes,St Kilda,1,966,,St Kilda,Carlton,89,65,St Kilda
11.0,3.0,14.0,1,7.0,0.0,0.0,0.0,4.0,10.0,2.0,0.0,,1.0,1.0,3.0,0.0,1,0,24,24,2002,0.0,Max Hudghton,St Kilda,1,955,,St Kilda,Carlton,89,65,St Kilda
13.0,2.0,15.0,1,5.0,0.0,0.0,2.0,6.0,10.0,2.0,0.0,,3.0,3.0,2.0,1.0,1,0,24,24,2002,0.0,Austinn Jones,St Kilda,1,929,,St Kilda,Carlton,89,65,St Kilda
7.0,6.0,13.0,0,7.0,1.0,13.0,2.0,5.0,8.0,1.0,0.0,,3.0,2.0,5.0,5.0,1,0,24,24,2002,0.0,Trent Knobel,St Kilda,1,1094,,St Kilda,Carlton,89,65,St Kilda
1.0,0.0,1.0,1,1.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,,1.0,0.0,0.0,0.0,1,0,24,24,2002,0.0,Justin Koschitzke,St Kilda,1,977,,St Kilda,Carlton,89,65,St Kilda
11.0,8.0,19.0,0,7.0,0.0,0.0,1.0,8.0,10.0,1.0,0.0,,3.0,1.0,2.0,1.0,1,0,24,24,2002,0.0,Steven Lawrence,St Kilda,1,118,,St Kilda,Carlton,89,65,St Kilda
8.0,4.0,12.0,1,3.0,1.0,14.0,2.0,7.0,6.0,0.0,0.0,,3.0,0.0,0.0,1.0,1,0,24,24,2002,0.0,Stewart Loewe,St Kilda,1,927,,St Kilda,Carlton,89,65,St Kilda
11.0,1.0,12.0,2,4.0,5.0,0.0,0.0,9.0,5.0,1.0,3.0,,3.0,0.0,0.0,5.0,1,0,24,24,2002,0.0,Stephen Milne,St Kilda,1,978,,St Kilda,Carlton,89,65,St Kilda
8.0,2.0,10.0,1,5.0,3.0,0.0,4.0,6.0,7.0,0.0,0.0,,3.0,0.0,2.0,4.0,1,0,24,24,2002,0.0,Justin Peckett,St Kilda,1,921,,St Kilda,Carlton,89,65,St Kilda
7.0,2.0,9.0,1,3.0,2.0,1.0,0.0,3.0,6.0,0.0,1.0,,2.0,1.0,1.0,1.0,1,0,24,24,2002,0.0,Nick Riewoldt,St Kilda,1,981,,St Kilda,Carlton,89,65,St Kilda
9.0,2.0,11.0,1,4.0,4.0,0.0,0.0,6.0,5.0,1.0,1.0,,0.0,1.0,2.0,0.0,1,0,24,24,2002,0.0,Troy Schwarze,St Kilda,1,971,,St Kilda,Carlton,89,65,St Kilda
20.0,4.0,24.0,1,7.0,1.0,0.0,4.0,10.0,12.0,1.0,0.0,,7.0,3.0,1.0,0.0,1,0,24,24,2002,1.0,Andrew Thompson,St Kilda,1,957,,St Kilda,Carlton,89,65,St Kilda
3.0,1.0,4.0,0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,,0.0,1.0,1.0,1.0,1,0,24,24,2002,0.0,Brett Voss,St Kilda,1,975,,St Kilda,Carlton,89,65,St Kilda
9.0,10.0,19.0,0,8.0,0.0,17.0,1.0,8.0,11.0,2.0,0.0,,0.0,2.0,1.0,3.0,0,1,-24,24,2002,0.0,Matthew Allan,Carlton,1,153,,St Kilda,Carlton,89,65,Carlton
14.0,3.0,17.0,1,7.0,3.0,0.0,0.0,3.0,13.0,0.0,1.0,,0.0,6.0,2.0,2.0,0,1,-24,24,2002,0.0,Simon Beaumont,Carlton,1,160,,St Kilda,Carlton,89,65,Carlton
17.0,4.0,21.0,1,5.0,1.0,0.0,3.0,7.0,12.0,0.0,0.0,,6.0,3.0,0.0,3.0,0,1,-24,24,2002,0.0,Craig Bradley,Carlton,1,151,,St Kilda,Carlton,89,65,Carlton
12.0,4.0,16.0,0,3.0,3.0,0.0,4.0,7.0,11.0,0.0,1.0,,7.0,0.0,1.0,3.0,0,1,-24,24,2002,0.0,Scott Camporeale,Carlton,1,143,,St Kilda,Carlton,89,65,Carlton
4.0,3.0,7.0,0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,,1.0,2.0,0.0,0.0,0,1,-24,24,2002,0.0,Sam Cranage,Carlton,1,963,,St Kilda,Carlton,89,65,Carlton
4.0,2.0,6.0,0,2.0,2.0,0.0,0.0,1.0,6.0,1.0,0.0,,1.0,0.0,2.0,4.0,0,1,-24,24,2002,0.0,Brendan Fevola,Carlton,1,196,,St Kilda,Carlton,89,65,Carlton
6.0,7.0,13.0,1,3.0,1.0,0.0,0.0,5.0,8.0,1.0,0.0,,0.0,1.0,2.0,2.0,0,1,-24,24,2002,0.0,Simon Fletcher,Carlton,1,193,,St Kilda,Carlton,89,65,Carlton
4.0,1.0,5.0,0,2.0,6.0,0.0,0.0,2.0,3.0,0.0,0.0,,0.0,0.0,1.0,1.0,0,1,-24,24,2002,0.0,Anthony Franchina,Carlton,1,181,,St Kilda,Carlton,89,65,Carlton
6.0,5.0,11.0,0,4.0,1.0,0.0,1.0,7.0,5.0,0.0,0.0,,0.0,4.0,2.0,1.0,0,1,-24,24,2002,0.0,David Gallagher,Carlton,1,69,,St Kilda,Carlton,89,65,Carlton
4.0,5.0,9.0,0,4.0,0.0,0.0,0.0,6.0,3.0,1.0,1.0,,2.0,1.0,2.0,2.0,0,1,-24,24,2002,0.0,Adrian Hickmott,Carlton,1,166,,St Kilda,Carlton,89,65,Carlton
0.0,2.0,2.0,0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,,0.0,0.0,2.0,0.0,0,1,-24,24,2002,0.0,Trent Hotton,Carlton,1,197,,St Kilda,Carlton,89,65,Carlton
11.0,4.0,15.0,1,2.0,0.0,0.0,5.0,8.0,7.0,0.0,0.0,,4.0,2.0,3.0,4.0,0,1,-24,24,2002,0.0,Ryan Houlihan,Carlton,1,201,,St Kilda,Carlton,89,65,Carlton
6.0,1.0,7.0,0,2.0,3.0,1.0,1.0,6.0,1.0,1.0,1.0,,2.0,0.0,0.0,1.0,0,1,-24,24,2002,0.0,Matthew Lappin,Carlton,1,191,,St Kilda,Carlton,89,65,Carlton
3.0,1.0,4.0,0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,,1.0,0.0,3.0,4.0,0,1,-24,24,2002,0.0,Michael Mansfield,Carlton,1,198,,St Kilda,Carlton,89,65,Carlton
2.0,5.0,7.0,0,2.0,2.0,0.0,0.0,4.0,3.0,1.0,0.0,,0.0,1.0,1.0,1.0,0,1,-24,24,2002,0.0,Glenn Manton,Carlton,1,161,,St Kilda,Carlton,89,65,Carlton
9.0,6.0,15.0,0,2.0,7.0,0.0,4.0,9.0,8.0,0.0,0.0,,0.0,6.0,2.0,4.0,0,1,-24,24,2002,2.0,Andrew McKay,Carlton,1,140,,St Kilda,Carlton,89,65,Carlton
8.0,2.0,10.0,1,2.0,1.0,5.0,1.0,5.0,4.0,0.0,1.0,,2.0,1.0,1.0,8.0,0,1,-24,24,2002,0.0,Corey McKernan,Carlton,1,775,,St Kilda,Carlton,89,65,Carlton
