Team,Player_fw,Contested_Possessions_fw,Uncontested_Possessions_fw,Effective_Disposals,Disposal_Efficiency_Pct,Contested_Marks_fw,Goal_Assists_fw,Marks_Inside_50_fw,One_Percenters_fw,Bounces_fw,Time_On_Ground_Pct,Season,Round_fw,Date,mid
Adelaide,Matthew Wright,11,12,18,75.0,0,0,0,0,0,86,2013,Round 1,2013-03-22,5550
Adelaide,Scott Thompson,15,9,17,73.9,1,1,0,0,0,84,2013,Round 1,2013-03-22,5550
Adelaide,Rory Sloane,11,11,11,47.8,0,0,1,1,0,90,2013,Round 1,2013-03-22,5550
Adelaide,Brent Reilly,6,11,13,68.4,0,0,0,1,1,90,2013,Round 1,2013-03-22,5550
Adelaide,Richard Douglas,6,13,15,78.9,2,1,2,0,1,82,2013,Round 1,2013-03-22,5550
Adelaide,Patrick Dangerfield,12,5,6,35.3,0,0,0,1,0,87,2013,Round 1,2013-03-22,5550
Adelaide,Bernie Vince,6,10,9,56.2,0,0,0,2,0,78,2013,Round 1,2013-03-22,5550
Adelaide,Jason Porplyzia,8,7,9,56.2,1,0,1,1,0,85,2013,Round 1,2013-03-22,5550
Adelaide,David Mackay,7,9,9,56.2,1,0,0,0,1,82,2013,Round 1,2013-03-22,5550
Adelaide,Andy Otten,8,7,10,66.7,0,0,0,15,0,83,2013,Round 1,2013-03-22,5550
Adelaide,Nathan Van Berlo,7,8,9,64.3,0,1,0,1,0,94,2013,Round 1,2013-03-22,5550
Adelaide,Taylor Walker,9,3,10,71.4,1,1,3,1,0,97,2013,Round 1,2013-03-22,5550
Adelaide,Ricky Henderson,6,8,8,57.1,2,0,1,0,0,85,2013,Round 1,2013-03-22,5550
Adelaide,Graham Johncock,10,4,8,61.5,2,1,0,1,0,81,2013,Round 1,2013-03-22,5550
Adelaide,Matthew Jaensch,4,8,12,92.3,1,0,0,5,0,83,2013,Round 1,2013-03-22,5550
Adelaide,Josh Jenkins,6,4,9,81.8,2,0,0,1,0,80,2013,Round 1,2013-03-22,5550
Adelaide,Sam Jacobs,8,2,4,40.0,1,0,0,3,0,91,2013,Round 1,2013-03-22,5550
Adelaide,Brodie Martin,3,6,6,66.7,0,1,0,0,0,36,2013,Round 1,2013-03-22,5550
Adelaide,Ben Rutten,6,0,6,85.7,1,0,0,3,0,90,2013,Round 1,2013-03-22,5550
Adelaide,Luke Brown,3,4,5,71.4,0,1,0,0,0,45,2013,Round 1,2013-03-22,5550
Adelaide,Jared Petrenko,1,0,3,60.0,0,0,0,0,1,79,2013,Round 1,2013-03-22,5550
Adelaide,Daniel Talia,2,4,5,100.0,0,0,0,9,0,94,2013,Round 1,2013-03-22,5550
Essendon,Jobe Watson,13,19,24,70.6,0,0,0,0,1,85,2013,Round 1,2013-03-22,5550
Essendon,Brent Stanton,11,15,21,80.8,0,0,0,0,1,88,2013,Round 1,2013-03-22,5550
Essendon,Ben Howlett,9,16,21,84.0,1,1,1,0,0,83,2013,Round 1,2013-03-22,5550
Essendon,Dyson Heppell,10,14,12,52.2,0,2,0,0,0,81,2013,Round 1,2013-03-22,5550
Essendon,David Myers,9,12,16,72.7,0,1,0,1,0,78,2013,Round 1,2013-03-22,5550
Essendon,Courtenay Dempsey,7,12,17,85.0,0,0,1,1,3,90,2013,Round 1,2013-03-22,5550
Essendon,Jake Melksham,4,12,12,70.6,0,1,0,3,0,72,2013,Round 1,2013-03-22,5550
Essendon,Michael Hibberd,6,11,14,82.4,1,0,0,4,2,92,2013,Round 1,2013-03-22,5550
Essendon,Dustin Fletcher,4,10,12,75.0,0,0,0,8,0,100,2013,Round 1,2013-03-22,5550
Essendon,Cale Hooker,9,8,11,68.8,1,0,0,9,0,100,2013,Round 1,2013-03-22,5550
Essendon,Jackson Merrett,11,6,9,56.2,0,3,0,1,0,77,2013,Round 1,2013-03-22,5550
Essendon,Nicholas Kommer,10,6,11,68.8,0,0,1,0,1,76,2013,Round 1,2013-03-22,5550
Essendon,Michael Hurley,7,8,9,60.0,1,0,2,1,0,89,2013,Round 1,2013-03-22,5550
Essendon,Brendon Goddard,6,6,11,78.6,2,0,0,0,2,84,2013,Round 1,2013-03-22,5550
Essendon,Heath Hocking,6,7,10,76.9,0,0,0,0,0,89,2013,Round 1,2013-03-22,5550
Essendon,Jake Carlisle,2,11,10,76.9,1,0,0,7,0,96,2013,Round 1,2013-03-22,5550
Essendon,Alwyn Davey,7,6,11,91.7,0,0,0,1,1,79,2013,Round 1,2013-03-22,5550
Essendon,Tom Bellchambers,5,3,5,62.5,1,0,1,2,0,83,2013,Round 1,2013-03-22,5550
Essendon,Mark Baguley,1,5,5,71.4,0,0,0,1,0,90,2013,Round 1,2013-03-22,5550
Essendon,David Zaharakis,0,6,4,66.7,0,0,0,0,0,26,2013,Round 1,2013-03-22,5550
Essendon,Patrick Ryder,3,1,2,50.0,0,0,0,1,0,81,2013,Round 1,2013-03-22,5550
Essendon,Stewart Crameri,5,1,3,75.0,2,0,1,2,0,60,2013,Round 1,2013-03-22,5550
Fremantle,David Mundy,14,13,16,59.3,1,1,0,0,0,74,2013,Round 1,2013-03-23,5551
Fremantle,Michael Barlow,14,12,18,66.7,0,1,0,0,0,89,2013,Round 1,2013-03-23,5551
Fremantle,Stephen Hill,8,18,18,69.2,0,1,0,4,2,83,2013,Round 1,2013-03-23,5551
Fremantle,Danyle Pearce,15,9,14,60.9,0,0,0,2,0,73,2013,Round 1,2013-03-23,5551
Fremantle,Nathan Fyfe,13,11,10,47.6,1,0,0,1,0,80,2013,Round 1,2013-03-23,5551
Fremantle,Christopher Mayne,7,12,16,84.2,1,1,3,3,0,88,2013,Round 1,2013-03-23,5551
Fremantle,Nicholas Suban,12,6,17,89.5,0,0,1,0,0,71,2013,Round 1,2013-03-23,5551
Fremantle,Clancee Pearce,3,14,13,76.5,0,0,0,1,1,95,2013,Round 1,2013-03-23,5551
Fremantle,Paul Duffield,5,6,12,75.0,1,0,1,4,0,97,2013,Round 1,2013-03-23,5551
Fremantle,Michael Walters,5,11,10,62.5,1,2,1,1,1,78,2013,Round 1,2013-03-23,5551
Fremantle,Matthew Pavlich,5,10,5,35.7,0,1,1,4,0,82,2013,Round 1,2013-03-23,5551
Fremantle,Kepler Bradley,6,8,7,53.8,0,1,0,3,0,81,2013,Round 1,2013-03-23,5551
Fremantle,Tendai Mzungu,6,8,8,61.5,1,0,1,1,3,83,2013,Round 1,2013-03-23,5551
Fremantle,Lee Spurr,7,9,10,76.9,1,0,0,3,0,100,2013,Round 1,2013-03-23,5551
Fremantle,Ryan Crowley,6,6,10,83.3,0,0,1,2,0,89,2013,Round 1,2013-03-23,5551
Fremantle,Jonathon Griffin,7,7,9,75.0,2,0,0,7,0,77,2013,Round 1,2013-03-23,5551
Fremantle,Matthew Deboer,5,6,7,58.3,0,0,1,0,0,88,2013,Round 1,2013-03-23,5551
Fremantle,Michael Johnson,2,7,7,70.0,0,0,0,5,1,96,2013,Round 1,2013-03-23,5551
Fremantle,Luke Mcpharlin,5,5,7,77.8,0,0,0,4,0,94,2013,Round 1,2013-03-23,5551
Fremantle,Zac Dawson,2,4,5,71.4,0,0,0,6,0,100,2013,Round 1,2013-03-23,5551
Fremantle,Hayden Ballantyne,5,3,4,57.1,1,0,1,1,0,70,2013,Round 1,2013-03-23,5551
Fremantle,Cameron Sutcliffe,0,3,2,100.0,0,0,0,0,0,12,2013,Round 1,2013-03-23,5551
West Coast,Matthew Priddis,17,11,11,39.3,1,1,1,0,0,88,2013,Round 1,2013-03-23,5551
West Coast,Beau Waters,10,17,17,65.4,2,0,0,6,2,86,2013,Round 1,2013-03-23,5551
West Coast,Joshua Kennedy,14,5,10,52.6,5,0,1,0,0,89,2013,Round 1,2013-03-23,5551
