Team,Player_fw,Contested_Possessions_fw,Uncontested_Possessions_fw,Effective_Disposals,Disposal_Efficiency_Pct,Contested_Marks_fw,Goal_Assists_fw,Marks_Inside_50_fw,One_Percenters_fw,Bounces_fw,Time_On_Ground_Pct,Season,Round_fw,Date,mid
Richmond,Daniel Connors,8,15,16,66.7,0,0,0,1,0,69,2010,Round 1,2010-03-25,5089
Richmond,Daniel Jackson,11,10,14,60.9,1,0,0,0,0,80,2010,Round 1,2010-03-25,5089
Richmond,Brett Deledio,7,14,16,76.2,0,0,0,0,0,89,2010,Round 1,2010-03-25,5089
Richmond,Ben Cousins,9,10,11,57.9,0,1,0,0,0,69,2010,Round 1,2010-03-25,5089
Richmond,Trent Cotchin,8,10,13,68.4,1,0,0,0,1,77,2010,Round 1,2010-03-25,5089
Richmond,Dustin Martin,6,12,16,88.9,0,0,0,1,0,81,2010,Round 1,2010-03-25,5089
Richmond,Shane Edwards,7,10,13,76.5,0,0,0,5,0,84,2010,Round 1,2010-03-25,5089
Richmond,Adam Thomson,7,6,7,50.0,0,1,2,2,0,80,2010,Round 1,2010-03-25,5089
Richmond,Luke Mcguane,6,7,10,76.9,1,0,0,5,0,100,2010,Round 1,2010-03-25,5089
Richmond,Robin Nahas,7,5,7,53.8,0,0,0,1,0,88,2010,Round 1,2010-03-25,5089
Richmond,Richard Tambling,8,4,9,75.0,1,0,1,0,0,81,2010,Round 1,2010-03-25,5089
Richmond,Jack Riewoldt,6,6,6,50.0,1,0,2,1,0,92,2010,Round 1,2010-03-25,5089
Richmond,Chris Newman,1,7,6,54.5,0,0,0,2,0,90,2010,Round 1,2010-03-25,5089
Richmond,Tom Hislop,6,6,9,81.8,0,0,0,1,0,85,2010,Round 1,2010-03-25,5089
Richmond,Mitchell Farmer,2,7,10,90.9,0,0,0,0,0,70,2010,Round 1,2010-03-25,5089
Richmond,Kelvin Moore,2,9,8,80.0,0,0,0,6,0,87,2010,Round 1,2010-03-25,5089
Richmond,Ben Nason,3,7,5,50.0,1,0,1,1,1,84,2010,Round 1,2010-03-25,5089
Richmond,Troy Simmonds,5,4,4,44.4,0,0,0,1,0,71,2010,Round 1,2010-03-25,5089
Richmond,Will Thursfield,3,7,8,88.9,0,0,0,7,0,100,2010,Round 1,2010-03-25,5089
Richmond,Mitch Morton,2,5,4,57.1,0,0,1,0,0,80,2010,Round 1,2010-03-25,5089
Richmond,Relton Roberts,1,6,3,42.9,1,0,0,0,1,71,2010,Round 1,2010-03-25,5089
Richmond,Tyrone Vickery,4,3,3,60.0,0,0,0,2,0,78,2010,Round 1,2010-03-25,5089
Carlton,Andrew Carrazzo,8,33,32,80.0,0,0,0,0,0,87,2010,Round 1,2010-03-25,5089
Carlton,Heath Scotland,7,25,24,75.0,0,1,0,0,0,80,2010,Round 1,2010-03-25,5089
Carlton,Kade Simpson,9,19,22,78.6,0,0,1,1,1,82,2010,Round 1,2010-03-25,5089
Carlton,Ryan Houlihan,8,18,19,73.1,0,1,0,4,1,87,2010,Round 1,2010-03-25,5089
Carlton,Brock Mclean,10,17,22,84.6,0,0,0,4,1,76,2010,Round 1,2010-03-25,5089
Carlton,Jordan Russell,4,21,23,88.5,0,0,0,4,1,88,2010,Round 1,2010-03-25,5089
Carlton,Paul Bower,4,18,24,96.0,2,0,0,9,0,95,2010,Round 1,2010-03-25,5089
Carlton,Marc Murphy,7,18,19,79.2,0,1,0,1,2,71,2010,Round 1,2010-03-25,5089
Carlton,Bryce Gibbs,8,15,16,69.6,2,0,3,0,0,83,2010,Round 1,2010-03-25,5089
Carlton,Bret Thornton,0,20,17,85.0,0,0,0,3,0,91,2010,Round 1,2010-03-25,5089
Carlton,Edward Betts,11,7,13,68.4,1,2,3,3,0,91,2010,Round 1,2010-03-25,5089
Carlton,Andrew Walker,7,12,14,77.8,1,0,0,0,0,79,2010,Round 1,2010-03-25,5089
Carlton,Jarrad Waite,4,13,11,64.7,1,1,2,3,1,77,2010,Round 1,2010-03-25,5089
Carlton,Robert Warnock,7,8,10,62.5,1,0,0,5,0,61,2010,Round 1,2010-03-25,5089
Carlton,Joe Anderson,6,10,11,68.8,0,0,0,0,0,88,2010,Round 1,2010-03-25,5089
Carlton,Matthew Kreuzer,10,6,14,87.5,1,2,0,6,0,65,2010,Round 1,2010-03-25,5089
Carlton,Mitch Robinson,5,9,13,100.0,0,0,0,1,0,83,2010,Round 1,2010-03-25,5089
Carlton,Setanta O Hailpin,6,6,8,66.7,2,1,4,3,0,89,2010,Round 1,2010-03-25,5089
Carlton,Christopher Yarran,4,7,7,63.6,0,2,1,0,0,68,2010,Round 1,2010-03-25,5089
Carlton,Aaron Joseph,1,9,7,70.0,1,1,0,2,1,86,2010,Round 1,2010-03-25,5089
Carlton,Lachlan Henderson,3,5,5,62.5,1,1,2,1,1,92,2010,Round 1,2010-03-25,5089
Carlton,Michael Jamison,0,6,5,83.3,0,0,0,4,0,80,2010,Round 1,2010-03-25,5089
Geelong,Gary Jnr Ablett,9,27,26,70.3,0,1,1,2,3,92,2010,Round 1,2010-03-26,5090
Geelong,Cameron Ling,6,23,25,86.2,0,0,0,2,0,86,2010,Round 1,2010-03-26,5090
Geelong,James Bartel,12,16,20,69.0,0,2,2,3,0,91,2010,Round 1,2010-03-26,5090
Geelong,Paul Chapman,8,20,19,70.4,0,3,1,1,0,84,2010,Round 1,2010-03-26,5090
Geelong,Joel Corey,6,20,14,51.9,0,1,0,2,0,72,2010,Round 1,2010-03-26,5090
Geelong,Corey Enright,9,18,22,81.5,1,0,0,2,0,80,2010,Round 1,2010-03-26,5090
Geelong,Shannon Byrnes,8,18,16,61.5,1,1,4,0,3,78,2010,Round 1,2010-03-26,5090
Geelong,Steve Johnson,8,18,16,64.0,1,2,2,3,0,87,2010,Round 1,2010-03-26,5090
Geelong,Joel Selwood,9,13,21,91.3,0,0,0,4,1,78,2010,Round 1,2010-03-26,5090
Geelong,James Kelly,6,14,14,66.7,0,0,1,0,0,88,2010,Round 1,2010-03-26,5090
Geelong,Andrew Mackie,3,17,16,80.0,1,1,0,4,0,88,2010,Round 1,2010-03-26,5090
Geelong,Darren Milburn,6,14,14,73.7,0,0,0,6,0,69,2010,Round 1,2010-03-26,5090
Geelong,Tom Lonergan,5,12,15,88.2,1,0,0,6,0,91,2010,Round 1,2010-03-26,5090
Geelong,Matthew Scarlett,5,8,12,80.0,0,0,0,1,0,96,2010,Round 1,2010-03-26,5090
Geelong,David Wojcinski,5,10,12,80.0,0,1,0,3,0,80,2010,Round 1,2010-03-26,5090
Geelong,Joshua Hunt,5,11,13,86.7,0,0,0,2,0,90,2010,Round 1,2010-03-26,5090
Geelong,Tom Hawkins,6,8,10,71.4,2,1,3,1,0,87,2010,Round 1,2010-03-26,5090
Geelong,Cameron Mooney,2,10,9,75.0,0,0,2,1,1,89,2010,Round 1,2010-03-26,5090
Geelong,Harry Taylor,4,8,9,75.0,0,0,0,5,0,85,2010,Round 1,2010-03-26,5090
Geelong,Brad Ottens,5,6,9,81.8,1,0,1,0,0,67,2010,Round 1,2010-03-26,5090
Geelong,Mitchell Duncan,2,9,7,70.0,0,0,0,0,1,71,2010,Round 1,2010-03-26,5090
Geelong,Mark Blake,1,4,5,100.0,0,0,0,1,0,53,2010,Round 1,2010-03-26,5090
Essendon,Brent Stanton,8,25,19,57.6,1,0,1,1,3,79,2010,Round 1,2010-03-26,5090
Essendon,Andrew Welsh,10,12,14,63.6,0,0,0,0,0,77,2010,Round 1,2010-03-26,5090
Essendon,Brent Prismall,6,16,12,54.5,0,0,0,0,1,68,2010,Round 1,2010-03-26,5090
Essendon,David Zaharakis,13,6,14,73.7,4,1,3,1,2,75,2010,Round 1,2010-03-26,5090
Essendon,Jobe Watson,13,6,10,55.6,0,0,0,2,2,78,2010,Round 1,2010-03-26,5090
Essendon,David Hille,6,10,12,70.6,1,0,1,2,0,77,2010,Round 1,2010-03-26,5090
Essendon,Jason Winderlich,5,14,11,64.7,0,0,0,1,0,85,2010,Round 1,2010-03-26,5090
Essendon,Heath Hocking,6,11,11,64.7,0,0,1,4,0,83,2010,Round 1,2010-03-26,5090
Essendon,Cale Hooker,9,6,12,70.6,0,0,0,6,0,87,2010,Round 1,2010-03-26,5090
Essendon,Dustin Fletcher,7,9,11,68.8,0,0,0,5,0,91,2010,Round 1,2010-03-26,5090
Essendon,Angus Monfries,8,7,12,75.0,1,0,1,1,0,89,2010,Round 1,2010-03-26,5090
Essendon,Courtenay Dempsey,5,10,11,68.8,0,0,0,6,0,86,2010,Round 1,2010-03-26,5090
Essendon,Tayte Pears,8,9,10,62.5,1,0,0,5,1,91,2010,Round 1,2010-03-26,5090
Essendon,Ben Howlett,7,9,7,43.8,0,0,1,0,0,72,2010,Round 1,2010-03-26,5090
Essendon,Rick Dyson,1,12,11,78.6,0,0,0,2,0,90,2010,Round 1,2010-03-26,5090
Essendon,Kyle Reimers,9,5,10,71.4,3,0,1,0,0,83,2010,Round 1,2010-03-26,5090
Essendon,Henry Slattery,6,5,8,72.7,0,0,0,6,0,94,2010,Round 1,2010-03-26,5090
Essendon,Patrick Ryder,8,3,7,63.6,0,1,1,3,0,84,2010,Round 1,2010-03-26,5090
Essendon,Alwyn Davey,3,6,7,70.0,0,0,0,1,0,65,2010,Round 1,2010-03-26,5090
Essendon,Jay Neagle,7,3,5,55.6,1,0,1,1,0,72,2010,Round 1,2010-03-26,5090
Essendon,Mark Williams,3,5,8,100.0,0,2,0,1,0,93,2010,Round 1,2010-03-26,5090
Essendon,Scott Gumbleton,2,1,2,66.7,0,0,0,1,0,81,2010,Round 1,2010-03-26,5090
Melbourne,Cameron Bruce,6,17,16,69.6,0,1,0,3,1,78,2010,Round 1,2010-03-27,5091
Melbourne,James Frawley,8,13,17,73.9,2,0,0,3,0,96,2010,Round 1,2010-03-27,5091
Melbourne,Jack Trengove,8,15,13,56.5,0,0,0,0,0,83,2010,Round 1,2010-03-27,5091
Melbourne,Brent Moloney,6,16,19,86.4,0,0,1,0,1,81,2010,Round 1,2010-03-27,5091
Melbourne,James Mcdonald,10,11,12,57.1,0,0,0,4,0,93,2010,Round 1,2010-03-27,5091
Melbourne,Joel Macdonald,9,13,13,61.9,2,0,0,2,0,79,2010,Round 1,2010-03-27,5091
Melbourne,Jack Grimes,7,15,16,76.2,0,0,0,0,2,85,2010,Round 1,2010-03-27,5091
Melbourne,Tom Scully,9,11,13,65.0,0,0,0,0,2,84,2010,Round 1,2010-03-27,5091
Melbourne,Nathan Jones,6,12,9,50.0,0,1,1,2,1,86,2010,Round 1,2010-03-27,5091
Melbourne,Jared Rivers,10,8,14,82.4,2,0,0,4,0,75,2010,Round 1,2010-03-27,5091
