Team,Player_fw,Contested_Possessions_fw,Uncontested_Possessions_fw,Effective_Disposals,Disposal_Efficiency_Pct,Contested_Marks_fw,Goal_Assists_fw,Marks_Inside_50_fw,One_Percenters_fw,Bounces_fw,Time_On_Ground_Pct,Season,Round_fw,Date,mid
Collingwood,Dayne Beams,13,18,20,64.5,0,1,1,2,0,87,2014,Round 1,2014-03-14,5757
Collingwood,Dane Swan,11,17,15,55.6,0,0,1,0,1,85,2014,Round 1,2014-03-14,5757
Collingwood,Scott Pendlebury,13,11,18,69.2,1,0,1,3,0,85,2014,Round 1,2014-03-14,5757
Collingwood,Luke Ball,10,16,13,52.0,0,1,2,7,0,74,2014,Round 1,2014-03-14,5757
Collingwood,Tom Langdon,9,13,17,70.8,1,0,0,3,0,80,2014,Round 1,2014-03-14,5757
Collingwood,Heritier O Brien,7,17,19,82.6,0,0,0,2,2,91,2014,Round 1,2014-03-14,5757
Collingwood,Steele Sidebottom,8,12,10,45.5,0,0,1,1,1,88,2014,Round 1,2014-03-14,5757
Collingwood,Ben Sinclair,4,15,15,75.0,0,0,0,2,0,84,2014,Round 1,2014-03-14,5757
Collingwood,Clinton Young,3,12,9,52.9,0,0,0,0,0,90,2014,Round 1,2014-03-14,5757
Collingwood,Brent Macaffer,4,12,11,68.8,1,0,0,0,0,91,2014,Round 1,2014-03-14,5757
Collingwood,Nick Maxwell,5,7,12,80.0,0,0,0,3,0,87,2014,Round 1,2014-03-14,5757
Collingwood,Taylor Adams,8,7,10,66.7,0,0,1,1,2,79,2014,Round 1,2014-03-14,5757
Collingwood,Brodie Grundy,7,9,9,64.3,0,0,0,2,0,78,2014,Round 1,2014-03-14,5757
Collingwood,Martin Clarke,4,8,11,84.6,0,0,0,1,0,59,2014,Round 1,2014-03-14,5757
Collingwood,Jamie Elliott 1,6,6,7,53.8,1,0,1,2,1,90,2014,Round 1,2014-03-14,5757
Collingwood,Jack Frost,6,5,9,81.8,1,0,0,7,0,88,2014,Round 1,2014-03-14,5757
Collingwood,Nathan Brown,5,5,6,66.7,1,0,0,5,0,83,2014,Round 1,2014-03-14,5757
Collingwood,Tyson Goldsack,7,1,5,62.5,0,0,0,0,2,76,2014,Round 1,2014-03-14,5757
Collingwood,Jarrod Witts,4,4,3,37.5,1,0,1,2,0,88,2014,Round 1,2014-03-14,5757
Collingwood,Ben Kennedy,7,1,7,87.5,0,0,0,0,0,35,2014,Round 1,2014-03-14,5757
Collingwood,Travis Cloke,1,6,5,71.4,0,1,0,2,0,97,2014,Round 1,2014-03-14,5757
Collingwood,Alan Toovey,3,3,4,80.0,0,0,0,9,0,86,2014,Round 1,2014-03-14,5757
Fremantle,Michael Barlow,13,16,22,75.9,0,0,1,0,0,85,2014,Round 1,2014-03-14,5757
Fremantle,Tendai Mzungu,10,17,17,63.0,0,1,0,0,0,85,2014,Round 1,2014-03-14,5757
Fremantle,Danyle Pearce,6,17,18,69.2,0,1,0,2,0,77,2014,Round 1,2014-03-14,5757
Fremantle,Stephen Hill,5,17,17,68.0,0,1,0,4,1,80,2014,Round 1,2014-03-14,5757
Fremantle,Michael Johnson,8,13,16,69.6,0,0,0,10,0,98,2014,Round 1,2014-03-14,5757
Fremantle,David Mundy,6,15,15,68.2,0,0,1,2,1,86,2014,Round 1,2014-03-14,5757
Fremantle,Matthew Deboer,8,13,17,81.0,0,2,1,2,0,85,2014,Round 1,2014-03-14,5757
Fremantle,Nathan Fyfe,15,7,18,90.0,1,1,1,2,0,64,2014,Round 1,2014-03-14,5757
Fremantle,Aaron Sandilands,13,6,14,73.7,4,1,1,3,0,79,2014,Round 1,2014-03-14,5757
Fremantle,Lee Spurr,7,10,12,66.7,1,0,0,5,0,96,2014,Round 1,2014-03-14,5757
Fremantle,Ryan Crowley,6,9,13,81.2,1,0,1,0,0,87,2014,Round 1,2014-03-14,5757
Fremantle,Michael Walters,8,8,11,68.8,0,0,0,2,0,79,2014,Round 1,2014-03-14,5757
Fremantle,Cameron Sutcliffe,3,13,14,87.5,0,1,1,3,0,90,2014,Round 1,2014-03-14,5757
Fremantle,Matthew Pavlich,7,8,9,60.0,2,0,4,3,0,86,2014,Round 1,2014-03-14,5757
Fremantle,Paul Duffield,1,13,12,85.7,0,0,0,2,0,95,2014,Round 1,2014-03-14,5757
Fremantle,Zac Dawson,6,5,9,75.0,0,0,0,6,0,89,2014,Round 1,2014-03-14,5757
Fremantle,Luke Mcpharlin,1,10,10,90.9,0,0,0,7,0,99,2014,Round 1,2014-03-14,5757
Fremantle,Hayden Ballantyne,7,4,8,80.0,0,1,1,3,1,82,2014,Round 1,2014-03-14,5757
Fremantle,Christopher Mayne,6,3,4,50.0,0,0,2,3,1,78,2014,Round 1,2014-03-14,5757
Fremantle,Thomas Sheridan,4,4,8,100.0,0,1,0,0,0,76,2014,Round 1,2014-03-14,5757
Fremantle,Lachie Neale,3,2,3,60.0,0,0,0,0,0,20,2014,Round 1,2014-03-14,5757
Fremantle,Jack Hannath,1,1,3,100.0,1,0,0,6,0,86,2014,Round 1,2014-03-14,5757
Greater Western Sydney,Adam Treloar,15,17,23,67.6,0,0,0,0,3,84,2014,Round 1,2014-03-15,5758
Greater Western Sydney,Callan Ward,24,6,16,51.6,1,1,0,1,0,86,2014,Round 1,2014-03-15,5758
Greater Western Sydney,Stephen Coniglio,11,15,10,37.0,0,0,0,2,0,79,2014,Round 1,2014-03-15,5758
Greater Western Sydney,Toby Greene,12,10,17,73.9,0,0,0,1,0,81,2014,Round 1,2014-03-15,5758
Greater Western Sydney,Nick Haynes,10,10,16,76.2,0,0,0,10,0,93,2014,Round 1,2014-03-15,5758
Greater Western Sydney,Lachie Whitfield,6,14,13,61.9,0,2,1,4,2,80,2014,Round 1,2014-03-15,5758
Greater Western Sydney,Heath Shaw,5,13,13,65.0,0,1,0,3,0,88,2014,Round 1,2014-03-15,5758
Greater Western Sydney,Tom Scully,13,6,12,63.2,0,0,0,0,0,87,2014,Round 1,2014-03-15,5758
Greater Western Sydney,Joshua Hunt,6,11,14,77.8,2,1,0,3,0,82,2014,Round 1,2014-03-15,5758
Greater Western Sydney,Curtly Hampton,10,8,11,68.8,0,0,0,5,1,87,2014,Round 1,2014-03-15,5758
Greater Western Sydney,Adam Kennedy,3,12,9,60.0,0,0,0,5,0,81,2014,Round 1,2014-03-15,5758
Greater Western Sydney,Shane Mumford,8,5,9,69.2,0,0,1,5,0,86,2014,Round 1,2014-03-15,5758
Greater Western Sydney,Jonathon Patton,11,2,8,61.5,2,1,3,1,0,84,2014,Round 1,2014-03-15,5758
Greater Western Sydney,Sam Frost,2,10,9,75.0,0,0,0,5,1,88,2014,Round 1,2014-03-15,5758
Greater Western Sydney,Devon Smith,4,6,5,45.5,0,0,1,0,0,83,2014,Round 1,2014-03-15,5758
Greater Western Sydney,Tomas Bugg,7,5,6,54.5,0,0,0,2,0,87,2014,Round 1,2014-03-15,5758
Greater Western Sydney,Dylan Addison,3,4,6,66.7,0,0,0,2,0,89,2014,Round 1,2014-03-15,5758
Greater Western Sydney,Jeremy Cameron,5,4,8,88.9,1,0,1,3,0,88,2014,Round 1,2014-03-15,5758
Greater Western Sydney,Jonathan Giles,6,2,3,42.9,1,1,1,5,0,93,2014,Round 1,2014-03-15,5758
Greater Western Sydney,Phil Davis,2,6,4,57.1,1,0,0,4,0,96,2014,Round 1,2014-03-15,5758
Greater Western Sydney,Dylan Shiel,2,5,4,57.1,0,0,0,1,0,49,2014,Round 1,2014-03-15,5758
Greater Western Sydney,Rhys Palmer,3,1,1,25.0,0,0,0,0,0,29,2014,Round 1,2014-03-15,5758
Sydney,Luke Parker,12,12,13,56.5,0,1,0,1,0,80,2014,Round 1,2014-03-15,5758
Sydney,Rhyce Shaw,10,12,14,63.6,0,0,0,3,2,85,2014,Round 1,2014-03-15,5758
Sydney,Josh P  Kennedy,20,4,10,45.5,1,1,1,0,0,85,2014,Round 1,2014-03-15,5758
Sydney,Tom Mitchell,9,12,15,71.4,0,0,0,1,0,77,2014,Round 1,2014-03-15,5758
Sydney,Jarrad Mcveigh,11,7,12,60.0,1,0,1,0,0,88,2014,Round 1,2014-03-15,5758
Sydney,Nick Malceski,6,12,12,66.7,0,0,0,2,0,76,2014,Round 1,2014-03-15,5758
Sydney,Heath Grundy,9,7,8,50.0,1,0,0,15,1,98,2014,Round 1,2014-03-15,5758
Sydney,Craig Bird,5,12,9,56.2,0,0,0,1,0,86,2014,Round 1,2014-03-15,5758
Sydney,Jeremy Laidler,12,5,11,68.8,0,0,0,6,0,81,2014,Round 1,2014-03-15,5758
Sydney,Lewis Jetta,1,15,13,81.2,0,1,0,2,0,84,2014,Round 1,2014-03-15,5758
Sydney,Dane Rampe,8,8,12,75.0,0,0,0,3,0,74,2014,Round 1,2014-03-15,5758
Sydney,Nick Smith 1,6,11,9,60.0,0,0,0,5,2,90,2014,Round 1,2014-03-15,5758
Sydney,Ben Mcglynn,9,6,11,78.6,0,0,0,4,0,84,2014,Round 1,2014-03-15,5758
Sydney,Ted Richards,4,7,10,76.9,2,0,0,11,0,100,2014,Round 1,2014-03-15,5758
Sydney,Harry Cunningham,6,5,10,76.9,0,0,0,2,0,70,2014,Round 1,2014-03-15,5758
Sydney,Daniel Hannebery,7,5,6,50.0,0,0,1,0,0,83,2014,Round 1,2014-03-15,5758
Sydney,Mike Pyke,6,4,5,50.0,1,0,0,4,0,97,2014,Round 1,2014-03-15,5758
Sydney,Sam Reid 1,5,4,4,40.0,1,0,1,4,0,96,2014,Round 1,2014-03-15,5758
Sydney,Gary Rohan,3,6,6,66.7,0,0,1,1,0,90,2014,Round 1,2014-03-15,5758
Sydney,Ryan O Keefe,3,3,3,42.9,0,0,0,0,0,24,2014,Round 1,2014-03-15,5758
Sydney,Lance Franklin,4,4,5,71.4,1,1,2,4,0,93,2014,Round 1,2014-03-15,5758
Sydney,Lewis Roberts Thomson,2,2,2,50.0,1,0,1,1,0,62,2014,Round 1,2014-03-15,5758
Gold Coast,Gary Jnr Ablett,15,23,27,65.9,0,1,0,2,1,92,2014,Round 1,2014-03-15,5759
Gold Coast,Dion Prestia,17,15,24,75.0,0,2,2,2,3,82,2014,Round 1,2014-03-15,5759
Gold Coast,Michael Rischitelli,10,16,19,67.9,0,0,0,0,2,91,2014,Round 1,2014-03-15,5759
Gold Coast,David Swallow,13,13,17,63.0,0,1,2,0,2,84,2014,Round 1,2014-03-15,5759
Gold Coast,Greg Broughton,11,12,18,75.0,2,0,0,5,2,88,2014,Round 1,2014-03-15,5759
Gold Coast,Jarrod Harbrow,7,15,18,81.8,0,0,0,1,3,85,2014,Round 1,2014-03-15,5759
Gold Coast,Jaeger O Meara,10,13,15,68.2,0,1,0,2,1,46,2014,Round 1,2014-03-15,5759
Gold Coast,Danny Stanley,10,8,14,73.7,1,0,0,2,0,88,2014,Round 1,2014-03-15,5759
Gold Coast,Matt Shaw,3,12,10,62.5,0,0,1,4,0,74,2014,Round 1,2014-03-15,5759
Gold Coast,Brandon Matera,8,8,11,68.8,0,2,1,1,1,94,2014,Round 1,2014-03-15,5759
Gold Coast,Steven May,6,10,12,75.0,1,0,0,17,1,100,2014,Round 1,2014-03-15,5759
Gold Coast,Aaron Hall,7,9,10,62.5,0,1,0,1,1,87,2014,Round 1,2014-03-15,5759
Gold Coast,Tim Sumner,8,5,6,42.9,0,0,0,2,2,84,2014,Round 1,2014-03-15,5759
Gold Coast,Trent Mckenzie,2,9,8,61.5,0,0,0,4,0,92,2014,Round 1,2014-03-15,5759
Gold Coast,Thomas Lynch,3,8,7,58.3,2,1,3,3,0,95,2014,Round 1,2014-03-15,5759
Gold Coast,Sean Lemmens,1,10,8,66.7,0,0,0,1,0,80,2014,Round 1,2014-03-15,5759
Gold Coast,Tom Nicholls,6,5,9,81.8,0,0,0,2,0,87,2014,Round 1,2014-03-15,5759
Gold Coast,Matthew Warnock,4,5,8,88.9,0,0,0,4,1,97,2014,Round 1,2014-03-15,5759
Gold Coast,Sam Day,4,5,4,44.4,2,0,2,3,0,78,2014,Round 1,2014-03-15,5759
