Team,Player_fw,Contested_Possessions_fw,Uncontested_Possessions_fw,Effective_Disposals,Disposal_Efficiency_Pct,Contested_Marks_fw,Goal_Assists_fw,Marks_Inside_50_fw,One_Percenters_fw,Bounces_fw,Centre_Clearances,Stoppage_Clearances,Score_Involvements_Actual,Metres_Gained,Turnovers,Intercepts,Tackles_Inside_50,Time_On_Ground_Pct,Season,Round_fw,Date,mid
Carlton,Marc Murphy,18,18,23,65.7,0,2,0,0,1,3,4,6,503,8,3,0,76,2017,Round 1,2017-03-23,9307
Carlton,Kade Simpson,12,20,23,69.7,0,0,0,1,1,1,3,6,594,6,8,0,92,2017,Round 1,2017-03-23,9307
Carlton,Bryce Gibbs,15,10,18,69.2,0,1,2,1,0,3,4,5,435,4,3,1,79,2017,Round 1,2017-03-23,9307
Carlton,Sam Docherty,5,15,19,79.2,0,0,0,1,2,0,0,5,598,7,6,0,88,2017,Round 1,2017-03-23,9307
Carlton,Lachlan Plowman,5,15,19,95.0,2,0,0,12,0,0,0,3,238,1,6,0,92,2017,Round 1,2017-03-23,9307
Carlton,Edward Curnow,5,11,14,73.7,0,0,0,0,2,5,0,5,313,6,3,0,86,2017,Round 1,2017-03-23,9307
Carlton,Patrick Cripps,5,14,12,63.2,0,0,0,0,0,3,0,0,279,9,1,0,84,2017,Round 1,2017-03-23,9307
Carlton,Caleb Marchbank,10,9,15,78.9,3,0,0,5,0,0,0,1,274,6,13,0,88,2017,Round 1,2017-03-23,9307
Carlton,Dale Thomas,2,15,13,76.5,1,1,0,0,0,0,0,4,356,5,2,0,76,2017,Round 1,2017-03-23,9307
Carlton,Billie Smedts,5,11,15,88.2,1,0,0,0,0,0,3,3,161,2,2,0,70,2017,Round 1,2017-03-23,9307
Carlton,Matthew Kreuzer,8,8,6,40.0,1,1,2,3,0,2,2,3,255,3,0,1,84,2017,Round 1,2017-03-23,9307
Carlton,Matthew Wright,7,7,12,85.7,1,0,1,0,0,0,1,8,152,1,1,4,86,2017,Round 1,2017-03-23,9307
Carlton,Sam Rowe,7,5,10,83.3,0,0,0,15,0,0,0,1,172,2,8,0,100,2017,Round 1,2017-03-23,9307
Carlton,Jack Silvagni,4,8,8,72.7,0,1,4,0,0,0,0,7,255,2,0,1,79,2017,Round 1,2017-03-23,9307
Carlton,Sam Petrevski Seton,8,3,6,54.5,0,0,0,1,0,1,2,2,126,2,3,1,71,2017,Round 1,2017-03-23,9307
Carlton,Levi Casboult,7,3,7,70.0,3,0,2,1,0,1,0,2,112,3,2,2,81,2017,Round 1,2017-03-23,9307
Carlton,Simon White,3,6,7,70.0,0,0,0,8,0,0,0,1,160,4,4,0,85,2017,Round 1,2017-03-23,9307
Carlton,Jacob Weitering,5,7,9,90.0,1,1,3,2,0,0,0,6,149,2,0,0,76,2017,Round 1,2017-03-23,9307
Carlton,Charlie Curnow,2,6,6,75.0,0,0,0,1,0,0,0,1,213,5,0,1,76,2017,Round 1,2017-03-23,9307
Carlton,Dennis Armfield,2,5,5,83.3,0,0,0,0,0,0,0,1,32,1,0,1,82,2017,Round 1,2017-03-23,9307
Carlton,Harrison Macreadie,3,4,6,100.0,0,0,0,2,0,0,0,2,43,1,3,0,81,2017,Round 1,2017-03-23,9307
Carlton,Jarrod Pickett,2,3,3,60.0,1,1,1,2,2,0,0,2,114,0,0,0,68,2017,Round 1,2017-03-23,9307
Richmond,Dustin Martin,13,21,24,72.7,1,4,1,1,0,5,1,13,801,5,2,2,89,2017,Round 1,2017-03-23,9307
Richmond,Dion Prestia,8,18,23,82.1,0,1,0,1,0,2,4,5,386,4,4,0,77,2017,Round 1,2017-03-23,9307
Richmond,Shaun Grigg,8,19,21,77.8,0,2,0,3,0,2,2,7,448,5,5,0,85,2017,Round 1,2017-03-23,9307
Richmond,Trent Cotchin,12,10,17,81.0,0,0,1,2,0,3,5,5,410,4,2,2,79,2017,Round 1,2017-03-23,9307
Richmond,Brandon Ellis,5,15,20,95.2,0,0,0,1,0,0,1,5,448,1,4,0,89,2017,Round 1,2017-03-23,9307
Richmond,Jason Castagna,10,13,11,55.0,0,1,3,0,0,1,1,10,305,7,3,2,83,2017,Round 1,2017-03-23,9307
Richmond,Reece Conca,4,14,13,68.4,0,0,0,2,0,0,0,4,441,2,5,0,81,2017,Round 1,2017-03-23,9307
Richmond,Daniel Butler,5,11,13,68.4,0,1,0,0,0,0,1,9,284,2,3,2,86,2017,Round 1,2017-03-23,9307
Richmond,Josh Caddy,9,9,14,82.4,0,1,0,0,0,1,2,5,289,3,2,1,77,2017,Round 1,2017-03-23,9307
Richmond,Kamdyn Mcintosh,4,12,10,62.5,1,0,0,4,1,0,0,1,441,6,5,0,76,2017,Round 1,2017-03-23,9307
Richmond,Shane Edwards,9,8,13,86.7,0,0,2,1,2,0,1,6,237,2,4,1,68,2017,Round 1,2017-03-23,9307
