Team,Player_fw,Contested_Possessions_fw,Uncontested_Possessions_fw,Effective_Disposals,Disposal_Efficiency_Pct,Contested_Marks_fw,Goal_Assists_fw,Marks_Inside_50_fw,One_Percenters_fw,Bounces_fw,Centre_Clearances,Stoppage_Clearances,Score_Involvements_Actual,Metres_Gained,Turnovers,Intercepts,Tackles_Inside_50,Time_On_Ground_Pct,Season,Round_fw,Date,mid
Richmond,Tim Taranto,12,20,18,56.2,0,0,0,0,0,3,2,4,542,9,3,3,80,2023,Round 1,2023-03-16,10751
Richmond,Daniel Rioli,6,17,25,92.6,1,1,0,1,3,0,0,5,681,5,7,0,84,2023,Round 1,2023-03-16,10751
Richmond,Dustin Martin,10,13,13,56.5,2,1,0,1,1,0,1,5,432,7,1,0,82,2023,Round 1,2023-03-16,10751
Richmond,Dion Prestia,13,11,17,73.9,0,0,1,1,0,1,4,3,316,4,5,0,81,2023,Round 1,2023-03-16,10751
Richmond,Jack Graham,9,11,14,70.0,0,0,0,1,0,0,2,5,283,7,4,1,88,2023,Round 1,2023-03-16,10751
Richmond,Trent Cotchin,11,7,12,66.7,0,0,0,2,0,0,4,3,263,5,3,0,67,2023,Round 1,2023-03-16,10751
Richmond,Jacob Hopper,7,12,11,61.1,0,1,0,1,0,0,1,1,381,6,3,2,72,2023,Round 1,2023-03-16,10751
Richmond,Shai Bolton,8,12,12,66.7,1,1,2,1,1,2,1,3,567,5,1,1,88,2023,Round 1,2023-03-16,10751
Richmond,Kamdyn Mcintosh,4,15,12,70.6,0,1,0,2,0,0,1,3,262,3,2,0,82,2023,Round 1,2023-03-16,10751
Richmond,Jayden Short,3,13,13,76.5,0,1,0,0,1,0,1,4,479,5,1,0,77,2023,Round 1,2023-03-16,10751
Richmond,Liam Baker,4,10,12,80.0,0,0,0,0,1,0,0,4,273,0,7,0,84,2023,Round 1,2023-03-16,10751
Richmond,Toby Nankervis,11,2,5,35.7,0,0,0,5,0,0,5,3,170,2,3,2,84,2023,Round 1,2023-03-16,10751
Richmond,Nathan Broad,2,11,11,84.6,1,0,0,3,0,0,1,1,209,3,3,1,90,2023,Round 1,2023-03-16,10751
Richmond,Jack Riewoldt,10,3,10,83.3,4,0,1,2,0,0,1,2,197,3,3,4,95,2023,Round 1,2023-03-16,10751
Richmond,Dylan Grimes,4,5,11,91.7,1,0,0,4,0,0,0,2,107,1,6,0,82,2023,Round 1,2023-03-16,10751
Richmond,Nick Vlastuin,2,7,9,81.8,0,0,0,4,0,0,0,2,205,1,4,0,91,2023,Round 1,2023-03-16,10751
Richmond,Maurice Rioli 1,4,9,8,72.7,0,0,0,1,1,0,1,4,208,3,1,2,74,2023,Round 1,2023-03-16,10751
Richmond,Thomas Lynch,9,3,6,60.0,4,0,5,5,0,0,2,6,176,2,0,0,89,2023,Round 1,2023-03-16,10751
Richmond,Marlion Pickett,6,5,8,80.0,1,0,0,2,0,0,0,1,126,3,6,0,51,2023,Round 1,2023-03-16,10751
Richmond,Ben Miller,5,5,8,88.9,0,0,1,4,0,0,3,4,84,1,3,0,80,2023,Round 1,2023-03-16,10751
Richmond,Noah Balta,5,2,5,62.5,2,0,0,2,0,0,0,1,199,2,6,0,87,2023,Round 1,2023-03-16,10751
Richmond,Rhyan Mansell,3,4,5,71.4,0,0,0,1,0,0,0,2,93,1,1,0,67,2023,Round 1,2023-03-16,10751
Richmond,Jack Ross,1,2,3,75.0,0,0,1,1,0,0,0,0,65,1,2,0,25,2023,Round 1,2023-03-16,10751
Carlton,George Hewett,14,13,20,71.4,0,0,0,0,0,5,3,3,122,2,2,0,71,2023,Round 1,2023-03-16,10751
Carlton,Sam Docherty,2,18,19,76.0,0,0,0,0,0,0,1,6,553,5,5,0,84,2023,Round 1,2023-03-16,10751
Carlton,Patrick Cripps,15,11,17,68.0,1,0,0,2,0,3,4,5,292,5,1,2,83,2023,Round 1,2023-03-16,10751
Carlton,Matthew Kennedy 1,9,13,16,72.7,0,0,1,0,0,1,3,4,425,3,1,0,69,2023,Round 1,2023-03-16,10751
Carlton,Mitch Mcgovern,8,11,14,66.7,3,0,0,4,0,0,1,5,542,4,9,0,76,2023,Round 1,2023-03-16,10751
Carlton,Adam Cerra,10,13,16,76.2,0,1,0,3,0,0,2,5,389,3,4,1,73,2023,Round 1,2023-03-16,10751
Carlton,Jacob Weitering,7,14,15,75.0,2,0,0,8,1,0,0,3,487,3,8,0,100,2023,Round 1,2023-03-16,10751
Carlton,Lewis Young,8,8,13,65.0,2,0,0,5,0,0,1,1,235,7,14,0,95,2023,Round 1,2023-03-16,10751
Carlton,Adam Saad,8,10,17,94.4,0,0,0,5,5,0,0,5,430,1,8,0,86,2023,Round 1,2023-03-16,10751
Carlton,Blake Acres,5,13,11,68.8,0,0,0,3,0,0,0,1,228,4,4,1,84,2023,Round 1,2023-03-16,10751
Carlton,Edward Curnow,3,11,8,57.1,0,2,0,0,0,0,1,4,300,5,1,0,86,2023,Round 1,2023-03-16,10751
Carlton,Nic Newman,5,9,11,78.6,0,0,0,4,0,0,0,0,240,3,5,0,90,2023,Round 1,2023-03-16,10751
