Team,Player_fw,Contested_Possessions_fw,Uncontested_Possessions_fw,Effective_Disposals,Disposal_Efficiency_Pct,Contested_Marks_fw,Goal_Assists_fw,Marks_Inside_50_fw,One_Percenters_fw,Bounces_fw,Centre_Clearances,Stoppage_Clearances,Score_Involvements_Actual,Metres_Gained,Turnovers,Intercepts,Tackles_Inside_50,Time_On_Ground_Pct,Season,Round_fw,Date,mid
Carlton,Bryce Gibbs,9,17,13,50.0,1,0,1,0,1,2,2,8,466,6,3,0,73,2015,Round 1,2015-04-02,5964
Carlton,Tom Bell,10,16,18,72.0,0,2,1,3,0,0,1,10,475,4,1,3,89,2015,Round 1,2015-04-02,5964
Carlton,Sam Docherty,10,13,21,91.3,0,1,0,4,1,0,2,6,287,2,12,1,95,2015,Round 1,2015-04-02,5964
Carlton,Chris Judd,11,10,15,71.4,0,4,1,1,1,4,2,8,474,5,2,1,79,2015,Round 1,2015-04-02,5964
Carlton,Kade Simpson,5,17,16,76.2,0,0,0,0,2,0,0,4,269,4,5,0,73,2015,Round 1,2015-04-02,5964
Carlton,Marc Murphy,9,12,14,66.7,0,0,0,0,0,1,3,10,227,4,0,0,81,2015,Round 1,2015-04-02,5964
Carlton,Edward Curnow,10,10,15,78.9,1,0,0,2,0,0,2,6,118,3,6,0,89,2015,Round 1,2015-04-02,5964
Carlton,Andrew Carrazzo,9,10,16,88.9,0,0,0,1,0,4,2,3,128,3,1,0,76,2015,Round 1,2015-04-02,5964
Carlton,Andrejs Everitt,3,14,14,77.8,0,0,1,3,0,0,1,4,464,5,3,0,95,2015,Round 1,2015-04-02,5964
Carlton,Christopher Yarran,5,12,14,77.8,0,1,1,0,3,0,0,5,259,4,5,0,86,2015,Round 1,2015-04-02,5964
Carlton,Troy Menzel,7,10,11,64.7,0,0,1,0,1,1,0,5,325,3,4,1,83,2015,Round 1,2015-04-02,5964
Carlton,Simon White,7,7,9,64.3,0,0,1,3,0,1,2,4,241,3,2,0,85,2015,Round 1,2015-04-02,5964
Carlton,Patrick Cripps,5,9,9,64.3,1,0,0,0,0,0,1,2,16,3,1,0,76,2015,Round 1,2015-04-02,5964
Carlton,Cameron Wood,7,4,6,54.5,1,0,1,3,0,4,2,2,151,2,1,0,89,2015,Round 1,2015-04-02,5964
Carlton,Clem Smith,3,7,7,63.6,0,0,0,0,1,0,0,4,228,4,2,0,73,2015,Round 1,2015-04-02,5964
Carlton,Lachlan Henderson,4,7,6,60.0,1,1,0,3,0,0,0,6,257,3,0,1,91,2015,Round 1,2015-04-02,5964
Carlton,Sam Rowe,4,5,6,66.7,0,0,1,6,0,0,1,2,79,0,2,0,87,2015,Round 1,2015-04-02,5964
Carlton,Zach Tuohy,0,9,9,100.0,0,0,0,1,0,0,0,3,208,1,0,0,92,2015,Round 1,2015-04-02,5964
Carlton,Michael Jamison,3,5,5,62.5,0,0,0,6,0,0,0,3,99,2,4,0,96,2015,Round 1,2015-04-02,5964
Carlton,Liam Jones,4,1,5,83.3,1,0,1,0,0,0,0,4,34,1,1,0,84,2015,Round 1,2015-04-02,5964
Carlton,Kristian Jaksch,1,4,3,60.0,1,0,1,6,0,0,0,2,199,2,0,0,88,2015,Round 1,2015-04-02,5964
Carlton,Dale Thomas,1,0,1,100.0,0,0,0,0,0,0,0,1,-7,0,0,0,1,2015,Round 1,2015-04-02,5964
Richmond,Taylor Hunt,5,21,23,85.2,0,0,0,0,6,0,1,6,446,2,4,0,84,2015,Round 1,2015-04-02,5964
Richmond,Brandon Ellis,8,18,16,61.5,1,0,0,1,0,0,2,8,355,4,5,3,87,2015,Round 1,2015-04-02,5964
Richmond,Anthony Miles,7,16,22,95.7,0,3,0,0,0,2,1,7,249,0,1,2,82,2015,Round 1,2015-04-02,5964
Richmond,Kamdyn Mcintosh,8,15,18,78.3,0,1,2,2,5,0,2,9,501,3,5,0,85,2015,Round 1,2015-04-02,5964
Richmond,Shane Edwards,15,7,16,76.2,0,3,0,1,0,2,5,9,332,2,1,1,83,2015,Round 1,2015-04-02,5964
Richmond,Bachar Houli,1,18,16,76.2,1,1,0,1,9,0,0,7,709,5,1,0,85,2015,Round 1,2015-04-02,5964
Richmond,Nick Vlastuin,8,11,19,90.5,2,0,0,3,0,0,0,6,347,3,13,0,83,2015,Round 1,2015-04-02,5964
