Team,Player_fw,Contested_Possessions_fw,Uncontested_Possessions_fw,Effective_Disposals,Disposal_Efficiency_Pct,Contested_Marks_fw,Goal_Assists_fw,Marks_Inside_50_fw,One_Percenters_fw,Bounces_fw,Time_On_Ground_Pct,Season,Round_fw,Date,mid
Greater Western Sydney,Adam Kennedy,8,21,21,75.0,1,0,1,4,1,85,2012,Round 1,2012-03-24,5343
Greater Western Sydney,Toby Greene,0,0,0,0.0,0,0,0,0,0,0,2012,Round 1,2012-03-24,5343
Greater Western Sydney,Tomas Bugg,7,18,20,74.1,0,0,0,0,0,80,2012,Round 1,2012-03-24,5343
Greater Western Sydney,Rhys Palmer,10,15,21,84.0,0,0,0,3,0,88,2012,Round 1,2012-03-24,5343
Greater Western Sydney,Chad Cornes,8,16,15,62.5,2,0,0,7,0,91,2012,Round 1,2012-03-24,5343
Greater Western Sydney,James Mcdonald,8,15,20,87.0,0,0,2,1,0,80,2012,Round 1,2012-03-24,5343
Greater Western Sydney,Callan Ward,12,9,13,59.1,0,0,0,1,0,87,2012,Round 1,2012-03-24,5343
Greater Western Sydney,Jack Hombsch,4,14,13,72.2,0,0,0,5,0,96,2012,Round 1,2012-03-24,5343
Greater Western Sydney,Phil Davis,5,11,11,64.7,0,1,1,8,0,93,2012,Round 1,2012-03-24,5343
Greater Western Sydney,Stephen Coniglio,7,11,14,82.4,1,0,0,0,0,81,2012,Round 1,2012-03-24,5343
Greater Western Sydney,Curtly Hampton,5,10,6,35.3,0,1,2,1,1,87,2012,Round 1,2012-03-24,5343
Greater Western Sydney,Tim Mohr,3,11,14,87.5,1,0,0,6,1,96,2012,Round 1,2012-03-24,5343
Greater Western Sydney,Will Hoskin Elliott,5,9,13,81.2,0,0,0,2,0,82,2012,Round 1,2012-03-24,5343
Greater Western Sydney,Devon Smith,5,8,9,60.0,0,1,1,0,0,83,2012,Round 1,2012-03-24,5343
Greater Western Sydney,Adam Tomlinson,6,7,9,69.2,1,0,1,4,0,80,2012,Round 1,2012-03-24,5343
Greater Western Sydney,Jonathan Giles,7,7,8,66.7,1,0,1,3,0,93,2012,Round 1,2012-03-24,5343
Greater Western Sydney,Dylan Shiel,3,8,5,45.5,0,0,0,2,0,53,2012,Round 1,2012-03-24,5343
Greater Western Sydney,Dom Tyson,6,4,5,50.0,0,0,0,1,0,27,2012,Round 1,2012-03-24,5343
Greater Western Sydney,Jacob Townsend,4,5,6,66.7,1,0,0,0,0,79,2012,Round 1,2012-03-24,5343
Greater Western Sydney,Nathan Wilson,3,4,4,44.4,0,0,0,0,0,76,2012,Round 1,2012-03-24,5343
Greater Western Sydney,Jeremy Cameron,4,4,8,100.0,2,0,0,4,0,94,2012,Round 1,2012-03-24,5343
Greater Western Sydney,Israel Folau,4,0,3,100.0,1,0,0,3,0,82,2012,Round 1,2012-03-24,5343
Sydney,Kieran Jack,12,18,23,76.7,0,1,0,2,0,80,2012,Round 1,2012-03-24,5343
Sydney,Josh P  Kennedy,15,12,19,70.4,1,1,1,2,0,82,2012,Round 1,2012-03-24,5343
Sydney,Craig Bird,10,18,16,59.3,0,1,1,2,0,81,2012,Round 1,2012-03-24,5343
Sydney,Jude Bolton,11,16,15,60.0,0,0,0,5,0,85,2012,Round 1,2012-03-24,5343
Sydney,Jarrad Mcveigh,6,14,19,86.4,0,0,0,1,0,85,2012,Round 1,2012-03-24,5343
Sydney,Adam Goodes,9,13,15,71.4,1,1,1,1,0,92,2012,Round 1,2012-03-24,5343
Sydney,Lewis Jetta,5,15,14,70.0,0,1,0,1,1,83,2012,Round 1,2012-03-24,5343
Sydney,Nick Smith 1,7,12,16,84.2,0,1,0,1,0,92,2012,Round 1,2012-03-24,5343
Sydney,Sam Reid 1,14,6,14,73.7,2,0,3,1,0,97,2012,Round 1,2012-03-24,5343
Sydney,Alex Johnson,2,15,13,68.4,1,0,0,3,2,91,2012,Round 1,2012-03-24,5343
Sydney,Nick Malceski,6,9,16,88.9,0,0,0,3,0,82,2012,Round 1,2012-03-24,5343
Sydney,Luke Parker,7,10,11,64.7,0,0,0,0,1,50,2012,Round 1,2012-03-24,5343
Sydney,Heath Grundy,4,12,8,50.0,3,0,0,8,1,95,2012,Round 1,2012-03-24,5343
Sydney,Gary Rohan,7,8,13,81.2,1,0,1,0,0,66,2012,Round 1,2012-03-24,5343
Sydney,Ted Richards,8,8,15,100.0,3,0,0,5,0,97,2012,Round 1,2012-03-24,5343
Sydney,Martin Mattner,3,12,11,78.6,1,0,0,4,0,86,2012,Round 1,2012-03-24,5343
Sydney,Ben Mcglynn,4,11,10,71.4,0,0,0,2,0,89,2012,Round 1,2012-03-24,5343
Sydney,Andrejs Everitt,7,6,7,53.8,1,1,1,2,0,93,2012,Round 1,2012-03-24,5343
Sydney,Lewis Roberts Thomson,6,5,8,72.7,0,2,1,2,0,95,2012,Round 1,2012-03-24,5343
Sydney,Shane Mumford,6,5,10,90.9,2,0,0,1,0,89,2012,Round 1,2012-03-24,5343
Sydney,Daniel Hannebery,5,5,7,70.0,0,0,0,0,0,69,2012,Round 1,2012-03-24,5343
Sydney,Harry Cunningham,1,2,2,50.0,0,0,0,0,0,20,2012,Round 1,2012-03-24,5343
Richmond,Trent Cotchin,11,15,18,66.7,0,0,0,0,0,85,2012,Round 1,2012-03-29,5344
Richmond,Nathan Foley,14,13,14,56.0,0,2,0,0,0,73,2012,Round 1,2012-03-29,5344
Richmond,Brett Deledio,7,14,14,66.7,0,1,0,1,2,84,2012,Round 1,2012-03-29,5344
Richmond,Alex Rance,13,8,18,85.7,0,0,0,5,0,98,2012,Round 1,2012-03-29,5344
Richmond,Shaun Grigg,5,15,13,65.0,0,0,2,2,0,87,2012,Round 1,2012-03-29,5344
Richmond,Bachar Houli,5,14,16,80.0,0,0,0,2,0,85,2012,Round 1,2012-03-29,5344
Richmond,Ivan Maric,9,8,13,72.2,1,1,0,2,0,82,2012,Round 1,2012-03-29,5344
Richmond,Daniel Jackson,4,12,14,82.4,0,0,0,0,0,85,2012,Round 1,2012-03-29,5344
Richmond,Jack Riewoldt,11,4,10,62.5,2,0,2,2,0,96,2012,Round 1,2012-03-29,5344
Richmond,Dustin Martin,8,8,10,62.5,0,0,2,0,1,89,2012,Round 1,2012-03-29,5344
Richmond,Shane Tuck,7,9,11,73.3,0,0,0,0,0,49,2012,Round 1,2012-03-29,5344
Richmond,Chris Newman,3,9,12,85.7,0,0,0,1,0,82,2012,Round 1,2012-03-29,5344
Richmond,Shane Edwards,8,4,9,75.0,0,1,0,2,1,84,2012,Round 1,2012-03-29,5344
Richmond,Addam Maric,5,7,8,66.7,0,1,1,0,2,91,2012,Round 1,2012-03-29,5344
Richmond,Dylan Grimes,5,5,9,81.8,0,0,0,6,1,91,2012,Round 1,2012-03-29,5344
Richmond,Brad Miller,4,5,7,77.8,2,0,2,2,0,88,2012,Round 1,2012-03-29,5344
Richmond,Jaydyn Post,5,5,6,66.7,1,0,0,6,0,100,2012,Round 1,2012-03-29,5344
Richmond,Steven Morris,1,7,8,88.9,0,0,0,5,0,79,2012,Round 1,2012-03-29,5344
Richmond,Brandon Ellis,1,7,8,88.9,0,0,0,3,1,69,2012,Round 1,2012-03-29,5344
Richmond,Robin Nahas,3,5,3,37.5,0,0,1,1,0,84,2012,Round 1,2012-03-29,5344
Richmond,Reece Conca,4,3,7,87.5,0,0,0,1,0,37,2012,Round 1,2012-03-29,5344
Richmond,Tyrone Vickery,3,3,2,66.7,0,0,0,5,0,83,2012,Round 1,2012-03-29,5344
Carlton,Marc Murphy,12,20,22,68.8,0,0,1,2,0,83,2012,Round 1,2012-03-29,5344
Carlton,Andrew Carrazzo,17,15,20,64.5,0,0,0,2,0,87,2012,Round 1,2012-03-29,5344
Carlton,Chris Judd,12,14,19,73.1,0,0,0,0,0,81,2012,Round 1,2012-03-29,5344
