Team,Player_fw,Contested_Possessions_fw,Uncontested_Possessions_fw,Effective_Disposals,Disposal_Efficiency_Pct,Contested_Marks_fw,Goal_Assists_fw,Marks_Inside_50_fw,One_Percenters_fw,Bounces_fw,Centre_Clearances,Stoppage_Clearances,Score_Involvements_Actual,Metres_Gained,Turnovers,Intercepts,Tackles_Inside_50,Time_On_Ground_Pct,Season,Round_fw,Date,mid
Melbourne,Christian Petracca,16,22,29,76.3,0,1,2,0,0,3,6,13,869,4,3,0,87,2022,Round 1,2022-03-16,10544
Melbourne,Clayton Oliver,15,20,24,75.0,0,0,0,2,1,3,3,8,549,8,7,2,81,2022,Round 1,2022-03-16,10544
Melbourne,Jack Viney,12,11,16,69.6,0,0,1,1,0,1,3,5,329,4,7,0,79,2022,Round 1,2022-03-16,10544
Melbourne,Angus Brayshaw,4,19,15,65.2,0,0,0,1,0,0,0,3,264,3,7,0,83,2022,Round 1,2022-03-16,10544
Melbourne,Ed Langdon,11,12,17,77.3,0,1,0,2,1,0,1,6,446,4,7,0,100,2022,Round 1,2022-03-16,10544
Melbourne,James Jordon,8,12,16,80.0,0,0,0,0,0,0,0,2,259,5,8,0,70,2022,Round 1,2022-03-16,10544
Melbourne,Alex Neal Bullen,8,10,13,72.2,1,3,0,2,2,0,0,8,320,4,4,1,88,2022,Round 1,2022-03-16,10544
Melbourne,James Harmes,7,10,14,82.4,1,0,1,3,0,0,2,4,163,3,2,2,77,2022,Round 1,2022-03-16,10544
Melbourne,Max Gawn,12,3,8,57.1,2,0,0,3,0,1,3,8,326,4,4,0,97,2022,Round 1,2022-03-16,10544
Melbourne,Steven May,3,6,11,78.6,2,0,0,12,3,0,0,1,384,3,5,0,97,2022,Round 1,2022-03-16,10544
Melbourne,Charlie Spargo,5,10,9,64.3,0,0,0,3,0,0,0,4,182,4,2,0,63,2022,Round 1,2022-03-16,10544
Melbourne,Ben Brown,6,7,8,61.5,2,0,6,2,0,0,0,11,245,1,0,0,86,2022,Round 1,2022-03-16,10544
Melbourne,Tom Sparrow,5,8,10,76.9,1,0,1,0,0,1,1,3,197,2,1,0,65,2022,Round 1,2022-03-16,10544
Melbourne,Tom Mcdonald,3,8,9,75.0,1,1,0,4,0,0,0,2,218,2,3,0,83,2022,Round 1,2022-03-16,10544
Melbourne,Luke Jackson,8,5,10,83.3,2,0,1,1,0,0,1,7,166,0,1,1,86,2022,Round 1,2022-03-16,10544
Melbourne,Jayden Hunt,4,7,9,81.8,1,0,0,2,0,0,0,2,226,2,4,0,86,2022,Round 1,2022-03-16,10544
Melbourne,Joel Smith 1,4,5,7,63.6,2,0,0,6,0,0,0,0,229,2,6,0,81,2022,Round 1,2022-03-16,10544
Melbourne,Bayley Fritsch,3,5,5,55.6,1,1,3,0,0,0,0,6,251,2,0,0,81,2022,Round 1,2022-03-16,10544
Melbourne,Toby Bedford,4,5,7,77.8,0,0,1,2,1,0,0,1,124,1,4,1,55,2022,Round 1,2022-03-16,10544
Melbourne,Jake Bowey,3,6,8,88.9,0,0,0,2,0,0,1,1,197,2,4,0,73,2022,Round 1,2022-03-16,10544
Melbourne,Adam Tomlinson,3,6,6,75.0,0,0,0,4,0,0,0,0,151,3,3,0,100,2022,Round 1,2022-03-16,10544
Melbourne,Kysaiah Pickett,1,4,5,100.0,0,1,1,1,0,0,0,3,143,1,1,0,68,2022,Round 1,2022-03-16,10544
Melbourne,Christian Salem,1,3,2,66.7,0,0,0,1,0,0,0,0,-4,2,0,0,13,2022,Round 1,2022-03-16,10544
Western Bulldogs,Jackson Macrae,15,24,31,79.5,0,0,0,1,0,6,5,4,569,6,1,0,84,2022,Round 1,2022-03-16,10544
Western Bulldogs,Bailey Smith,11,20,22,66.7,1,1,0,0,0,4,4,5,528,7,3,1,79,2022,Round 1,2022-03-16,10544
Western Bulldogs,Josh Dunkley,12,17,21,72.4,0,1,0,3,1,3,0,7,260,5,5,1,84,2022,Round 1,2022-03-16,10544
Western Bulldogs,Adam Treloar,4,22,18,69.2,0,1,1,0,0,1,2,6,456,10,0,0,81,2022,Round 1,2022-03-16,10544
Western Bulldogs,Caleb Daniel,5,17,24,92.3,0,0,0,1,2,0,0,3,406,6,5,0,80,2022,Round 1,2022-03-16,10544
Western Bulldogs,Bailey Dale,4,17,21,84.0,0,0,0,2,0,0,1,5,554,4,6,0,83,2022,Round 1,2022-03-16,10544
Western Bulldogs,Timothy English,13,7,17,85.0,2,0,1,2,0,2,6,4,259,3,6,0,86,2022,Round 1,2022-03-16,10544
Western Bulldogs,Hayden Crozier,3,18,17,89.5,1,0,0,2,1,0,0,4,387,3,6,0,75,2022,Round 1,2022-03-16,10544
Western Bulldogs,Marcus Bontempelli,6,12,13,76.5,1,2,0,3,0,1,0,6,380,3,6,1,72,2022,Round 1,2022-03-16,10544
Western Bulldogs,Laitham Vandermeer,7,9,11,64.7,0,1,0,0,0,0,1,1,151,6,2,0,74,2022,Round 1,2022-03-16,10544
